IV3 - GRU,,,,,,,,
File Name,Ground Truth Sequence,Predicted Sequence,TP,FP,FN,Precision,Recall,F1-score
continuous_0022_S4_strategy2.npz,73 -> 32 -> 8 -> 50 -> 71,73 -> 32 -> 50 -> 60 -> 57 -> 71,3,3,2,50.00%,60.00%,54.55%
continuous_0023_S4_strategy2.npz,79 -> 63 -> 39 -> 99 -> 22,79 -> 63 -> 40 -> 99 -> 22,3,2,2,60.00%,60.00%,60.00%
continuous_0024_S4_strategy2.npz,66 -> 50 -> 6 -> 26 -> 33 -> 94,66 -> 50 -> 22 -> 6 -> 22 -> 0 -> 33 -> 94,5,3,1,62.50%,83.33%,71.43%
continuous_0025_S4_strategy2.npz,3 -> 84 -> 93 -> 53 -> 20 -> 33,3 -> 84 -> 93 -> 50 -> 21 -> 29 -> 33,4,3,2,57.14%,66.67%,61.54%
continuous_0026_S4_strategy2.npz,29 -> 46 -> 3 -> 16 -> 86,44 -> 3 -> 16 -> 86,3,1,2,75.00%,60.00%,66.67%
continuous_0027_S4_strategy2.npz,37 -> 52 -> 99 -> 42 -> 26 -> 1 -> 10,37 -> 39 -> 41 -> 52 -> 99 -> 42 -> 45 -> 44 -> 1,0,9,7,0.00%,0.00%,0.00%
continuous_0028_S4_strategy2.npz,77 -> 2 -> 56 -> 65 -> 47,2 -> 56 -> 65 -> 47,3,1,2,75.00%,60.00%,66.67%
continuous_0029_S4_strategy2.npz,29 -> 49 -> 16 -> 37 -> 91,29 -> 49 -> 16 -> 41 -> 40,3,2,2,60.00%,60.00%,60.00%
continuous_0030_S4_strategy2.npz,101 -> 94 -> 51 -> 84 -> 55,101 -> 94 -> 84,2,1,3,66.67%,40.00%,50.00%
continuous_0031_S4_strategy2.npz,12 -> 1 -> 84 -> 29 -> 64 -> 98 -> 49,10 -> 12 -> 1 -> 84 -> 29 -> 64 -> 98 -> 49,7,1,0,87.50%,100.00%,93.33%
continuous_0032_S4_strategy2.npz,77 -> 1 -> 87 -> 26 -> 47,1 -> 87 -> 100 -> 26 -> 47,1,4,4,20.00%,20.00%,20.00%
continuous_0033_S4_strategy2.npz,29 -> 59 -> 47 -> 97 -> 19,29 -> 59 -> 47 -> 97 -> 19,5,0,0,100.00%,100.00%,100.00%
continuous_0034_S4_strategy2.npz,2 -> 12 -> 70 -> 20 -> 88,2 -> 3 -> 70 -> 20 -> 21 -> 88,2,4,3,33.33%,40.00%,36.36%
continuous_0035_S4_strategy2.npz,24 -> 2 -> 16 -> 42 -> 55,23 -> 28 -> 2 -> 16 -> 42,0,5,5,0.00%,0.00%,0.00%
continuous_0036_S4_strategy2.npz,1 -> 28 -> 19 -> 71 -> 97 -> 92 -> 37,13 -> 27 -> 19 -> 9 -> 71 -> 97 -> 92 -> 41,3,5,4,37.50%,42.86%,40.00%
continuous_0037_S4_strategy2.npz,28 -> 64 -> 6 -> 75 -> 33 -> 17,28 -> 64 -> 6 -> 71 -> 75 -> 33 -> 17,6,1,0,85.71%,100.00%,92.31%
continuous_0038_S4_strategy2.npz,75 -> 29 -> 7 -> 41 -> 98,75 -> 29 -> 41,3,0,2,100.00%,60.00%,75.00%
continuous_0039_S4_strategy2.npz,3 -> 69 -> 21 -> 14 -> 87 -> 61 -> 101,3 -> 69 -> 21 -> 14 -> 87 -> 61 -> 101,7,0,0,100.00%,100.00%,100.00%
continuous_0040_S4_strategy2.npz,68 -> 73 -> 42 -> 30 -> 57 -> 15,73 -> 42 -> 33 -> 30 -> 57 -> 15,2,4,4,33.33%,33.33%,33.33%
continuous_0041_S4_strategy2.npz,63 -> 18 -> 46 -> 24 -> 54 -> 8,63 -> 71 -> 18 -> 92 -> 44 -> 24 -> 54 -> 8,3,5,3,37.50%,50.00%,42.86%
continuous_0042_S4_strategy2.npz,18 -> 66 -> 35 -> 29 -> 45 -> 60,18 -> 66 -> 37 -> 35 -> 29 -> 45 -> 65 -> 60,3,5,3,37.50%,50.00%,42.86%
continuous_0043_S4_strategy2.npz,46 -> 98 -> 34 -> 75 -> 67 -> 60,44 -> 98 -> 75 -> 67 -> 60,4,1,2,80.00%,66.67%,72.73%
continuous_0044_S4_strategy2.npz,91 -> 64 -> 31 -> 9 -> 12 -> 56 -> 79,91 -> 64 -> 33 -> 30 -> 31 -> 9 -> 11 -> 3 -> 56 -> 79,4,6,3,40.00%,57.14%,47.06%
continuous_0045_S4_strategy2.npz,87 -> 61 -> 41 -> 66 -> 46 -> 4 -> 14,87 -> 61 -> 37 -> 41 -> 66 -> 44 -> 4 -> 14,5,3,2,62.50%,71.43%,66.67%
continuous_0046_S4_strategy2.npz,71 -> 3 -> 98 -> 87 -> 79 -> 13 -> 47,71 -> 3 -> 98 -> 87 -> 79 -> 13 -> 47,7,0,0,100.00%,100.00%,100.00%
continuous_0047_S4_strategy2.npz,88 -> 82 -> 38 -> 14 -> 101,88 -> 82 -> 83 -> 38 -> 14 -> 101,5,1,0,83.33%,100.00%,90.91%
continuous_0048_S4_strategy2.npz,77 -> 96 -> 17 -> 21 -> 39 -> 90 -> 59,77 -> 96 -> 17 -> 21 -> 40 -> 90 -> 59,6,1,1,85.71%,85.71%,85.71%
continuous_0049_S4_strategy2.npz,34 -> 97 -> 21 -> 45 -> 66,34 -> 97 -> 20 -> 50 -> 45 -> 66,4,2,1,66.67%,80.00%,72.73%
continuous_0050_S4_strategy2.npz,65 -> 24 -> 76 -> 35 -> 8,24 -> 23 -> 76,0,3,5,0.00%,0.00%,0.00%
continuous_0051_S4_strategy2.npz,63 -> 37 -> 5 -> 95 -> 92 -> 49,63 -> 37 -> 5 -> 95 -> 92 -> 49,6,0,0,100.00%,100.00%,100.00%
continuous_0052_S4_strategy2.npz,14 -> 32 -> 100 -> 69 -> 22 -> 74,32 -> 33 -> 100 -> 69 -> 22,3,2,3,60.00%,50.00%,54.55%
continuous_0053_S4_strategy2.npz,79 -> 26 -> 8 -> 66 -> 59 -> 43 -> 13,26 -> 8 -> 66 -> 59 -> 43 -> 13,3,3,4,50.00%,42.86%,46.15%
continuous_0054_S4_strategy2.npz,73 -> 41 -> 94 -> 22 -> 2,73 -> 94 -> 92 -> 21 -> 1,1,4,4,20.00%,20.00%,20.00%
continuous_0055_S4_strategy2.npz,97 -> 26 -> 47 -> 32 -> 9 -> 63,97 -> 14 -> 47 -> 32 -> 9 -> 63,4,2,2,66.67%,66.67%,66.67%
continuous_0056_S4_strategy2.npz,74 -> 62 -> 91 -> 13 -> 97 -> 54 -> 3,62 -> 91 -> 13 -> 3 -> 97 -> 56 -> 3,2,5,5,28.57%,28.57%,28.57%
continuous_0057_S4_strategy2.npz,9 -> 101 -> 71 -> 45 -> 29 -> 57,9 -> 101 -> 71 -> 45 -> 29 -> 57,6,0,0,100.00%,100.00%,100.00%
continuous_0058_S4_strategy2.npz,60 -> 7 -> 88 -> 99 -> 70 -> 10,60 -> 7 -> 88 -> 99 -> 70 -> 11,4,2,2,66.67%,66.67%,66.67%
continuous_0059_S4_strategy2.npz,20 -> 30 -> 18 -> 63 -> 4 -> 46 -> 102,20 -> 30 -> 18 -> 63 -> 4 -> 46,5,1,2,83.33%,71.43%,76.92%
continuous_0060_S4_strategy2.npz,64 -> 19 -> 75 -> 54 -> 91,64 -> 19 -> 75 -> 54 -> 55 -> 91,4,2,1,66.67%,80.00%,72.73%
continuous_0061_S4_strategy2.npz,33 -> 61 -> 45 -> 28 -> 88 -> 82 -> 96,33 -> 30 -> 61 -> 45 -> 28 -> 88 -> 83 -> 84 -> 96,4,5,3,44.44%,57.14%,50.00%
continuous_0062_S4_strategy2.npz,95 -> 59 -> 38 -> 27 -> 5 -> 67,95 -> 59 -> 38 -> 5 -> 67,5,0,1,100.00%,83.33%,90.91%
continuous_0063_S4_strategy2.npz,77 -> 48 -> 1 -> 14 -> 92 -> 97,77 -> 49 -> 48 -> 1 -> 97,2,3,4,40.00%,33.33%,36.36%
continuous_0064_S4_strategy2.npz,81 -> 4 -> 56 -> 94 -> 21 -> 65 -> 98,81 -> 4 -> 56 -> 98 -> 94 -> 21 -> 65 -> 98,6,2,1,75.00%,85.71%,80.00%
continuous_0065_S4_strategy2.npz,93 -> 75 -> 100 -> 33 -> 45 -> 55,100 -> 93 -> 75 -> 100 -> 33 -> 45 -> 55,5,2,1,71.43%,83.33%,76.92%
continuous_0066_S4_strategy2.npz,101 -> 25 -> 40 -> 8 -> 15 -> 43,103 -> 25 -> 40 -> 97 -> 8 -> 15,0,6,6,0.00%,0.00%,0.00%
continuous_0067_S4_strategy2.npz,10 -> 100 -> 2 -> 26 -> 45 -> 91,10 -> 100 -> 14 -> 45 -> 91,4,1,2,80.00%,66.67%,72.73%
continuous_0068_S4_strategy2.npz,47 -> 95 -> 63 -> 88 -> 7 -> 29 -> 76,47 -> 95 -> 63 -> 88 -> 7 -> 49 -> 29 -> 76,5,3,2,62.50%,71.43%,66.67%
continuous_0069_S4_strategy2.npz,25 -> 52 -> 99 -> 5 -> 82 -> 16,29 -> 52 -> 99 -> 5 -> 82 -> 16,4,2,2,66.67%,66.67%,66.67%
continuous_0070_S4_strategy2.npz,5 -> 43 -> 19 -> 100 -> 23,5 -> 43 -> 19 -> 100 -> 23,3,2,2,60.00%,60.00%,60.00%
continuous_0071_S4_strategy2.npz,31 -> 89 -> 60 -> 69 -> 22 -> 75 -> 96,31 -> 30 -> 89 -> 60 -> 69 -> 66 -> 20 -> 75 -> 96,4,5,3,44.44%,57.14%,50.00%
continuous_0072_S4_strategy2.npz,63 -> 11 -> 83 -> 41 -> 51,63 -> 83 -> 41 -> 51,2,2,3,50.00%,40.00%,44.44%
continuous_0073_S4_strategy2.npz,99 -> 11 -> 73 -> 5 -> 43 -> 26,99 -> 11 -> 73 -> 5 -> 43 -> 26,4,2,2,66.67%,66.67%,66.67%
continuous_0074_S4_strategy2.npz,49 -> 4 -> 104 -> 70 -> 35 -> 16,49 -> 4 -> 70 -> 35 -> 16,3,2,3,60.00%,50.00%,54.55%
continuous_0075_S4_strategy2.npz,24 -> 47 -> 9 -> 86 -> 38,24 -> 47 -> 9 -> 86 -> 38,5,0,0,100.00%,100.00%,100.00%
continuous_0076_S4_strategy2.npz,48 -> 97 -> 7 -> 81 -> 34 -> 85,48 -> 97 -> 7 -> 81 -> 34 -> 85,6,0,0,100.00%,100.00%,100.00%
continuous_0077_S4_strategy2.npz,55 -> 41 -> 63 -> 14 -> 9,41 -> 63 -> 14 -> 16 -> 9,1,4,4,20.00%,20.00%,20.00%
continuous_0078_S4_strategy2.npz,33 -> 78 -> 47 -> 54 -> 5 -> 27 -> 88,33 -> 73 -> 49 -> 47 -> 5 -> 88,3,3,4,50.00%,42.86%,46.15%
continuous_0079_S4_strategy2.npz,80 -> 99 -> 68 -> 53 -> 20,80 -> 99 -> 68 -> 57 -> 53 -> 20,3,3,2,50.00%,60.00%,54.55%
continuous_0080_S4_strategy2.npz,15 -> 98 -> 60 -> 67 -> 31 -> 48,15 -> 98 -> 60 -> 67 -> 31 -> 48,6,0,0,100.00%,100.00%,100.00%
continuous_0081_S4_strategy2.npz,72 -> 41 -> 103 -> 58 -> 90,72 -> 41 -> 103 -> 58 -> 90,3,2,2,60.00%,60.00%,60.00%
continuous_0082_S4_strategy2.npz,53 -> 73 -> 4 -> 11 -> 44 -> 100,57 -> 73 -> 4 -> 44 -> 100,4,1,2,80.00%,66.67%,72.73%
continuous_0083_S4_strategy2.npz,63 -> 60 -> 3 -> 33 -> 103 -> 19 -> 80,63 -> 60 -> 3 -> 33 -> 19 -> 80,6,0,1,100.00%,85.71%,92.31%
continuous_0084_S4_strategy2.npz,32 -> 16 -> 79 -> 42 -> 98 -> 87,32 -> 16 -> 79 -> 63 -> 42 -> 98 -> 87,5,2,1,71.43%,83.33%,76.92%
continuous_0085_S4_strategy2.npz,6 -> 90 -> 61 -> 65 -> 42 -> 20,6 -> 90 -> 61 -> 66 -> 65 -> 42 -> 15 -> 20,2,6,4,25.00%,33.33%,28.57%
continuous_0086_S4_strategy2.npz,104 -> 63 -> 80 -> 49 -> 35 -> 55 -> 89,63 -> 80 -> 49 -> 36 -> 55 -> 89,3,3,4,50.00%,42.86%,46.15%
continuous_0087_S4_strategy2.npz,103 -> 64 -> 59 -> 37 -> 77,64 -> 59 -> 37 -> 77,3,1,2,75.00%,60.00%,66.67%
continuous_0088_S4_strategy2.npz,38 -> 93 -> 13 -> 69 -> 52 -> 6 -> 99,38 -> 93 -> 100 -> 93 -> 100 -> 90 -> 13 -> 69 -> 52 -> 58 -> 6,1,10,6,9.09%,14.29%,11.11%
continuous_0089_S4_strategy2.npz,104 -> 52 -> 43 -> 79 -> 87,52 -> 45 -> 79 -> 87,2,2,3,50.00%,40.00%,44.44%
continuous_0090_S4_strategy2.npz,49 -> 77 -> 102 -> 94 -> 3 -> 11,49 -> 102 -> 94 -> 3 -> 11,4,1,2,80.00%,66.67%,72.73%
continuous_0091_S4_strategy2.npz,86 -> 95 -> 59 -> 84 -> 21 -> 17,86 -> 95 -> 59 -> 84 -> 20,4,1,2,80.00%,66.67%,72.73%
continuous_0092_S4_strategy2.npz,17 -> 27 -> 60 -> 41 -> 70 -> 51,17 -> 27 -> 60 -> 70 -> 51,3,2,3,60.00%,50.00%,54.55%
continuous_0093_S4_strategy2.npz,36 -> 64 -> 10 -> 87 -> 43 -> 83 -> 56,36 -> 65 -> 3 -> 87 -> 45 -> 43 -> 48 -> 83 -> 56,3,6,4,33.33%,42.86%,37.50%
continuous_0094_S4_strategy2.npz,46 -> 87 -> 75 -> 0 -> 28 -> 39,44 -> 87 -> 75 -> 0 -> 28 -> 39,5,1,1,83.33%,83.33%,83.33%
continuous_0095_S4_strategy2.npz,51 -> 4 -> 86 -> 67 -> 78 -> 37,4 -> 86 -> 78 -> 37,3,1,3,75.00%,50.00%,60.00%
continuous_0096_S4_strategy2.npz,59 -> 7 -> 49 -> 70 -> 28 -> 97 -> 89,59 -> 49 -> 70 -> 28 -> 26 -> 97 -> 89,3,4,4,42.86%,42.86%,42.86%
continuous_0097_S4_strategy2.npz,52 -> 9 -> 47 -> 23 -> 33,52 -> 9 -> 47 -> 23 -> 25 -> 23,3,3,2,50.00%,60.00%,54.55%
continuous_0098_S4_strategy2.npz,57 -> 41 -> 92 -> 12 -> 64 -> 77 -> 28,57 -> 41 -> 92 -> 3 -> 64 -> 77 -> 28,6,1,1,85.71%,85.71%,85.71%
continuous_0099_S4_strategy2.npz,77 -> 103 -> 24 -> 57 -> 49,103 -> 24 -> 57 -> 49,2,2,3,50.00%,40.00%,44.44%
continuous_0100_S4_strategy2.npz,86 -> 41 -> 3 -> 61 -> 64,86 -> 41 -> 3 -> 61 -> 65,4,1,1,80.00%,80.00%,80.00%
continuous_0101_S4_strategy2.npz,69 -> 99 -> 26 -> 81 -> 48 -> 60,69 -> 99 -> 25 -> 81 -> 48 -> 47 -> 60,3,4,3,42.86%,50.00%,46.15%
continuous_0102_S4_strategy2.npz,52 -> 21 -> 2 -> 81 -> 95 -> 31 -> 17,52 -> 21 -> 2 -> 81 -> 95 -> 31 -> 17,7,0,0,100.00%,100.00%,100.00%
continuous_0103_S4_strategy2.npz,86 -> 32 -> 65 -> 101 -> 25,86 -> 32 -> 65 -> 101 -> 21,4,1,1,80.00%,80.00%,80.00%
continuous_0104_S4_strategy2.npz,71 -> 90 -> 13 -> 4 -> 29 -> 73,71 -> 90 -> 13 -> 4 -> 29 -> 73,6,0,0,100.00%,100.00%,100.00%
continuous_0105_S4_strategy2.npz,32 -> 5 -> 60 -> 89 -> 102,32 -> 5 -> 60 -> 89 -> 102,5,0,0,100.00%,100.00%,100.00%
continuous_0106_S4_strategy2.npz,63 -> 31 -> 86 -> 22 -> 4,63 -> 31 -> 86 -> 21,3,1,2,75.00%,60.00%,66.67%
continuous_0107_S4_strategy2.npz,69 -> 92 -> 15 -> 37 -> 98,69 -> 92 -> 15 -> 37 -> 39 -> 98,3,3,2,50.00%,60.00%,54.55%
continuous_0108_S4_strategy2.npz,42 -> 65 -> 10 -> 102 -> 28 -> 0,42 -> 65 -> 102 -> 28 -> 0,4,1,2,80.00%,66.67%,72.73%
continuous_0109_S4_strategy2.npz,26 -> 15 -> 0 -> 57 -> 102,26 -> 14 -> 0 -> 57 -> 102,3,2,2,60.00%,60.00%,60.00%
continuous_0110_S4_strategy2.npz,9 -> 48 -> 74 -> 17 -> 104 -> 25 -> 31,9 -> 48 -> 49 -> 17 -> 104 -> 21 -> 25,4,3,3,57.14%,57.14%,57.14%
continuous_0111_S4_strategy2.npz,40 -> 101 -> 81 -> 67 -> 9 -> 53,40 -> 101 -> 81 -> 9 -> 57,4,1,2,80.00%,66.67%,72.73%
continuous_0112_S4_strategy2.npz,16 -> 9 -> 52 -> 100 -> 25,16 -> 9 -> 52 -> 100 -> 20,4,1,1,80.00%,80.00%,80.00%
continuous_0113_S4_strategy2.npz,89 -> 16 -> 102 -> 69 -> 60 -> 7,89 -> 16 -> 102 -> 66 -> 69 -> 70 -> 60 -> 7,5,3,1,62.50%,83.33%,71.43%
continuous_0114_S4_strategy2.npz,104 -> 37 -> 61 -> 81 -> 62,104 -> 61 -> 66 -> 62,3,1,2,75.00%,60.00%,66.67%
continuous_0115_S4_strategy2.npz,21 -> 58 -> 38 -> 91 -> 9 -> 49 -> 103,21 -> 58 -> 38 -> 71 -> 91 -> 9 -> 49,1,6,6,14.29%,14.29%,14.29%
continuous_0116_S4_strategy2.npz,93 -> 8 -> 97 -> 56 -> 77,91 -> 93 -> 8 -> 97 -> 56 -> 77,3,3,2,50.00%,60.00%,54.55%
continuous_0117_S4_strategy2.npz,88 -> 96 -> 2 -> 19 -> 26 -> 83 -> 44,88 -> 96 -> 2 -> 19 -> 13 -> 83 -> 44,6,1,1,85.71%,85.71%,85.71%
continuous_0118_S4_strategy2.npz,3 -> 16 -> 82 -> 54 -> 45 -> 36 -> 94,9 -> 16 -> 9 -> 82 -> 83 -> 45 -> 37 -> 36 -> 94,4,5,3,44.44%,57.14%,50.00%
continuous_0119_S4_strategy2.npz,79 -> 2 -> 85 -> 12 -> 33 -> 57 -> 43,63 -> 1 -> 2 -> 85 -> 3 -> 33 -> 57 -> 43,3,5,4,37.50%,42.86%,40.00%
continuous_0120_S4_strategy2.npz,80 -> 23 -> 16 -> 70 -> 61 -> 88,80 -> 23 -> 16 -> 70 -> 66 -> 61 -> 66 -> 88,4,4,2,50.00%,66.67%,57.14%
continuous_0121_S4_strategy2.npz,97 -> 8 -> 15 -> 32 -> 25,97 -> 8 -> 15 -> 32 -> 44,3,2,2,60.00%,60.00%,60.00%
continuous_0122_S4_strategy2.npz,43 -> 32 -> 2 -> 24 -> 89 -> 16,43 -> 23 -> 89 -> 16,2,2,4,50.00%,33.33%,40.00%
continuous_0123_S4_strategy2.npz,15 -> 79 -> 31 -> 66 -> 0,15 -> 31 -> 32 -> 66 -> 0,3,2,2,60.00%,60.00%,60.00%
continuous_0124_S4_strategy2.npz,102 -> 55 -> 6 -> 39 -> 66 -> 16,102 -> 55 -> 6 -> 17 -> 39 -> 40 -> 66 -> 16,4,4,2,50.00%,66.67%,57.14%
continuous_0125_S4_strategy2.npz,101 -> 56 -> 8 -> 11 -> 69 -> 35 -> 87,101 -> 56 -> 8 -> 11 -> 3 -> 69 -> 35 -> 87,5,3,2,62.50%,71.43%,66.67%
continuous_0126_S4_strategy2.npz,89 -> 25 -> 65 -> 49 -> 3 -> 39 -> 98,89 -> 44 -> 65 -> 3 -> 40 -> 98,4,2,3,66.67%,57.14%,61.54%
continuous_0127_S4_strategy2.npz,39 -> 71 -> 9 -> 87 -> 42,39 -> 38 -> 71 -> 9 -> 87,0,5,5,0.00%,0.00%,0.00%
continuous_0128_S4_strategy2.npz,104 -> 15 -> 47 -> 20 -> 60,15 -> 47 -> 20 -> 60,2,2,3,50.00%,40.00%,44.44%
continuous_0129_S4_strategy2.npz,46 -> 83 -> 17 -> 71 -> 22 -> 33 -> 99,44 -> 83 -> 17 -> 15 -> 71 -> 21 -> 33 -> 99,5,3,2,62.50%,71.43%,66.67%
continuous_0130_S4_strategy2.npz,85 -> 56 -> 23 -> 102 -> 69 -> 75,85 -> 56 -> 102 -> 69 -> 75,5,0,1,100.00%,83.33%,90.91%
continuous_0131_S4_strategy2.npz,74 -> 7 -> 99 -> 85 -> 42 -> 64 -> 24,7 -> 99 -> 85 -> 42 -> 65 -> 24,0,6,7,0.00%,0.00%,0.00%
continuous_0132_S4_strategy2.npz,62 -> 34 -> 90 -> 17 -> 44,62 -> 34 -> 90 -> 17 -> 44,5,0,0,100.00%,100.00%,100.00%
continuous_0133_S4_strategy2.npz,6 -> 71 -> 40 -> 75 -> 99 -> 27,6 -> 71 -> 40 -> 75 -> 99 -> 27,5,1,1,83.33%,83.33%,83.33%
continuous_0134_S4_strategy2.npz,31 -> 97 -> 61 -> 73 -> 62 -> 22 -> 93,31 -> 97 -> 61 -> 73 -> 62 -> 22,6,0,1,100.00%,85.71%,92.31%
continuous_0135_S4_strategy2.npz,63 -> 52 -> 28 -> 11 -> 84,63 -> 52 -> 28 -> 84,4,0,1,100.00%,80.00%,88.89%
continuous_0136_S4_strategy2.npz,11 -> 56 -> 85 -> 42 -> 21 -> 32 -> 69,11 -> 56 -> 85 -> 42 -> 21 -> 22 -> 21 -> 20 -> 32 -> 69,2,8,5,20.00%,28.57%,23.53%
continuous_0137_S4_strategy2.npz,62 -> 100 -> 94 -> 29 -> 35 -> 17 -> 61,63 -> 62 -> 100 -> 94 -> 92 -> 37 -> 17 -> 61,4,4,3,50.00%,57.14%,53.33%
continuous_0138_S4_strategy2.npz,10 -> 103 -> 22 -> 82 -> 0 -> 30,11 -> 9 -> 95 -> 22 -> 82 -> 0 -> 77 -> 0 -> 15 -> 30,2,8,4,20.00%,33.33%,25.00%
continuous_0139_S4_strategy2.npz,99 -> 92 -> 67 -> 57 -> 25 -> 13 -> 49,99 -> 92 -> 67 -> 57 -> 25 -> 13 -> 49,7,0,0,100.00%,100.00%,100.00%
continuous_0140_S4_strategy2.npz,100 -> 63 -> 88 -> 42 -> 19 -> 74,100 -> 63 -> 88 -> 42 -> 43 -> 19 -> 2 -> 74,2,6,4,25.00%,33.33%,28.57%
continuous_0141_S4_strategy2.npz,12 -> 104 -> 81 -> 51 -> 93 -> 70,12 -> 104 -> 81 -> 51 -> 93 -> 70,5,1,1,83.33%,83.33%,83.33%
continuous_0142_S4_strategy2.npz,76 -> 91 -> 6 -> 14 -> 20 -> 97,76 -> 91 -> 6 -> 14 -> 29 -> 97,4,2,2,66.67%,66.67%,66.67%
continuous_0143_S4_strategy2.npz,96 -> 60 -> 75 -> 8 -> 32,96 -> 60 -> 75 -> 8,4,0,1,100.00%,80.00%,88.89%
continuous_0144_S4_strategy2.npz,29 -> 75 -> 55 -> 31 -> 5,29 -> 75 -> 31 -> 5,3,1,2,75.00%,60.00%,66.67%
continuous_0145_S4_strategy2.npz,27 -> 34 -> 45 -> 99 -> 4 -> 76,27 -> 28 -> 45 -> 99 -> 4 -> 76,4,2,2,66.67%,66.67%,66.67%
continuous_0146_S4_strategy2.npz,17 -> 23 -> 68 -> 7 -> 90 -> 58 -> 102,17 -> 23 -> 29 -> 16 -> 90 -> 58,4,2,3,66.67%,57.14%,61.54%
continuous_0147_S4_strategy2.npz,54 -> 11 -> 7 -> 83 -> 48,11 -> 3 -> 7 -> 83 -> 48,3,2,2,60.00%,60.00%,60.00%
continuous_0148_S4_strategy2.npz,39 -> 19 -> 50 -> 53 -> 67 -> 8,39 -> 38 -> 9 -> 50 -> 53 -> 67 -> 8,4,3,2,57.14%,66.67%,61.54%
continuous_0149_S4_strategy2.npz,6 -> 25 -> 95 -> 93 -> 73 -> 62,6 -> 25 -> 95 -> 94 -> 91 -> 90 -> 73 -> 62,3,5,3,37.50%,50.00%,42.86%
