ID,Label,Transformer,Transformer,Transformer,IV3-GRU,IV3-GRU,IV3-GRU,Difference,Difference,Difference,Interpretation
15,YES,0.714286,0.921053,0.804598,0.8,0.631579,0.705882,-0.085714,0.289474,0.098716,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
16,WRONG,0.878049,0.923077,0.9,0.837838,0.794872,0.815789,0.040211,0.128205,0.084211,"Transformer Better (Recall, F1-Score)"
17,CORRECT,0.869565,0.952381,0.909091,0.864865,0.761905,0.810127,0.0047,0.190476,0.098964,"Transformer Better (Recall, F1-Score)"
18,SLOW,0.875,0.945946,0.909091,0.885714,0.837838,0.861111,-0.010714,0.108108,0.04798,Transformer Better (Recall)
19,FAST,0.72093,0.837838,0.775,0.727273,0.432432,0.542373,-0.006343,0.405406,0.232627,"Transformer Better (Recall, F1-Score)"
20,ONE,0.804878,0.970588,0.88,0.809524,0.5,0.618182,-0.004646,0.470588,0.261818,"Transformer Better (Recall, F1-Score)"
21,TWO,0.882353,0.909091,0.895522,0.571429,0.484848,0.52459,0.310924,0.424243,0.370932,"Transformer Better (Precision, Recall, F1-Score)"
22,THREE,0.825,0.970588,0.891892,0.380952,0.235294,0.290909,0.444048,0.735294,0.600983,"Transformer Better (Precision, Recall, F1-Score)"
23,FOUR,0.971429,0.971429,0.971429,0.5,0.171429,0.255319,0.471429,0.8,0.71611,"Transformer Better (Precision, Recall, F1-Score)"
24,FIVE,0.911765,0.96875,0.939394,0.48,0.375,0.421053,0.431765,0.59375,0.518341,"Transformer Better (Precision, Recall, F1-Score)"
25,SIX,0.916667,0.942857,0.929577,0.272727,0.085714,0.130435,0.64394,0.857143,0.799142,"Transformer Better (Precision, Recall, F1-Score)"
26,SEVEN,0.875,1.0,0.933333,0.666667,0.114286,0.195122,0.208333,0.885714,0.738211,"Transformer Better (Precision, Recall, F1-Score)"
27,EIGHT,0.596154,0.939394,0.729412,0.0,0.0,0.0,0.596154,0.939394,0.729412,"Transformer Better (Precision, Recall, F1-Score)"
28,NINE,0.828571,0.878788,0.852941,0.875,0.212121,0.341463,-0.046429,0.666667,0.511478,"Transformer Better (Recall, F1-Score)"
29,TEN,0.555556,0.882353,0.681818,0.611111,0.323529,0.423077,-0.055555,0.558824,0.258741,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
30,JANUARY,0.55,0.916667,0.6875,0.545455,0.166667,0.255319,0.004545,0.75,0.432181,"Transformer Better (Recall, F1-Score)"
31,FEBRUARY,0.733333,0.916667,0.814815,0.666667,0.5,0.571429,0.066666,0.416667,0.243386,"Transformer Better (Precision, Recall, F1-Score)"
32,MARCH,0.767442,0.916667,0.835443,0.791667,0.527778,0.633333,-0.024225,0.388889,0.20211,"Transformer Better (Recall, F1-Score)"
33,APRIL,0.74,0.902439,0.813187,0.625,0.243902,0.350877,0.115,0.658537,0.46231,"Transformer Better (Precision, Recall, F1-Score)"
34,MAY,0.846154,0.825,0.835443,0.727273,0.2,0.313725,0.118881,0.625,0.521718,"Transformer Better (Precision, Recall, F1-Score)"
35,JUNE,0.85,0.944444,0.894737,0.0,0.0,0.0,0.85,0.944444,0.894737,"Transformer Better (Precision, Recall, F1-Score)"
36,JULY,0.744681,0.945946,0.833333,0.0,0.0,0.0,0.744681,0.945946,0.833333,"Transformer Better (Precision, Recall, F1-Score)"
37,AUGUST,0.769231,0.833333,0.8,0.321429,0.25,0.28125,0.447802,0.583333,0.51875,"Transformer Better (Precision, Recall, F1-Score)"
38,SEPTEMBER,0.805556,0.828571,0.816901,0.470588,0.685714,0.55814,0.334968,0.142857,0.258761,"Transformer Better (Precision, Recall, F1-Score)"
39,OCTOBER,0.783784,0.805556,0.794521,0.571429,0.222222,0.32,0.212355,0.583334,0.474521,"Transformer Better (Precision, Recall, F1-Score)"
40,NOVEMBER,0.85,0.918919,0.883117,0.692308,0.486486,0.571429,0.157692,0.432433,0.311688,"Transformer Better (Precision, Recall, F1-Score)"
41,DECEMBER,0.853659,0.945946,0.897436,0.742857,0.702703,0.722222,0.110802,0.243243,0.175214,"Transformer Better (Precision, Recall, F1-Score)"
42,MONDAY,0.770833,0.973684,0.860465,0.666667,0.368421,0.474576,0.104166,0.605263,0.385889,"Transformer Better (Precision, Recall, F1-Score)"
43,TUESDAY,0.871795,0.971429,0.918919,0.631579,0.342857,0.444444,0.240216,0.628572,0.474475,"Transformer Better (Precision, Recall, F1-Score)"
44,WEDNESDAY,0.861111,0.861111,0.861111,0.581818,0.888889,0.703297,0.279293,-0.027778,0.157814,"Transformer Better (Precision, F1-Score)"
45,THURSDAY,0.857143,0.972973,0.911392,0.763158,0.783784,0.773333,0.093985,0.189189,0.138059,"Transformer Better (Precision, Recall, F1-Score)"
46,FRIDAY,0.945946,0.945946,0.945946,0.470588,0.216216,0.296296,0.475358,0.72973,0.64965,"Transformer Better (Precision, Recall, F1-Score)"
47,SATURDAY,0.891892,0.891892,0.891892,0.891892,0.891892,0.891892,0.0,0.0,0.0,Similar (all metrics within 5%)
48,SUNDAY,0.804878,0.891892,0.846154,0.833333,0.810811,0.821918,-0.028455,0.081081,0.024236,Transformer Better (Recall)
49,TODAY,0.736842,0.8,0.767123,0.714286,0.571429,0.634921,0.022556,0.228571,0.132202,"Transformer Better (Recall, F1-Score)"
50,TOMORROW,0.723404,0.918919,0.809524,0.71875,0.621622,0.666667,0.004654,0.297297,0.142857,"Transformer Better (Recall, F1-Score)"
51,YESTERDAY,0.945946,0.972222,0.958904,0.75,0.166667,0.272727,0.195946,0.805555,0.686177,"Transformer Better (Precision, Recall, F1-Score)"
52,FATHER,0.789474,0.833333,0.810811,0.818182,0.5,0.62069,-0.028708,0.333333,0.190121,"Transformer Better (Recall, F1-Score)"
53,MOTHER,0.604167,0.783784,0.682353,1.0,0.324324,0.489796,-0.395833,0.45946,0.192557,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
54,SON,0.820513,0.842105,0.831169,0.875,0.368421,0.518519,-0.054487,0.473684,0.31265,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
55,DAUGHTER,0.804348,0.973684,0.880952,0.727273,0.631579,0.676056,0.077075,0.342105,0.204896,"Transformer Better (Precision, Recall, F1-Score)"
56,GRANDFATHER,0.891892,0.891892,0.891892,0.857143,0.810811,0.833333,0.034749,0.081081,0.058559,"Transformer Better (Recall, F1-Score)"
57,GRANDMOTHER,0.744681,0.897436,0.813953,0.744186,0.820513,0.780488,0.000495,0.076923,0.033465,Transformer Better (Recall)
58,UNCLE,0.925,0.948718,0.936709,0.789474,0.769231,0.779221,0.135526,0.179487,0.157488,"Transformer Better (Precision, Recall, F1-Score)"
59,AUNTIE,0.666667,0.918919,0.772727,0.73913,0.459459,0.566667,-0.072463,0.45946,0.20606,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
60,COUSIN,0.95,1.0,0.974359,0.794872,0.815789,0.805195,0.155128,0.184211,0.169164,"Transformer Better (Precision, Recall, F1-Score)"
61,PARENTS,0.857143,0.947368,0.9,0.805556,0.763158,0.783784,0.051587,0.18421,0.116216,"Transformer Better (Precision, Recall, F1-Score)"
62,BOY,0.948718,0.973684,0.961039,0.85,0.447368,0.586207,0.098718,0.526316,0.374832,"Transformer Better (Precision, Recall, F1-Score)"
63,GIRL,0.822222,0.973684,0.891566,0.648649,0.631579,0.64,0.173573,0.342105,0.251566,"Transformer Better (Precision, Recall, F1-Score)"
64,MAN,0.945946,0.972222,0.958904,0.857143,0.333333,0.48,0.088803,0.638889,0.478904,"Transformer Better (Precision, Recall, F1-Score)"
65,WOMAN,0.875,0.945946,0.909091,0.766667,0.621622,0.686567,0.108333,0.324324,0.222524,"Transformer Better (Precision, Recall, F1-Score)"
66,DEAF,0.653846,0.918919,0.764045,0.52,0.702703,0.597701,0.133846,0.216216,0.166344,"Transformer Better (Precision, Recall, F1-Score)"
67,HARD OF HEARING,0.673913,0.837838,0.746988,0.827586,0.648649,0.727273,-0.153673,0.189189,0.019715,Mixed: Transformer Better (Recall); IV3-GRU Better (Precision)
68,WEELCHAIR PERSON,0.820513,0.888889,0.853333,0.909091,0.277778,0.425532,-0.088578,0.611111,0.427801,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
69,BLIND,0.711111,0.888889,0.790123,0.806452,0.694444,0.746269,-0.095341,0.194445,0.043854,Mixed: Transformer Better (Recall); IV3-GRU Better (Precision)
70,DEAF BLIND,0.809524,0.918919,0.860759,0.666667,0.702703,0.684211,0.142857,0.216216,0.176548,"Transformer Better (Precision, Recall, F1-Score)"
71,MARRIED,0.761905,0.914286,0.831169,0.722222,0.742857,0.732394,0.039683,0.171429,0.098775,"Transformer Better (Recall, F1-Score)"
72,BLUE,0.897436,0.945946,0.921053,0.885714,0.837838,0.861111,0.011722,0.108108,0.059942,"Transformer Better (Recall, F1-Score)"
73,GREEN,0.947368,0.972973,0.96,0.619048,0.702703,0.658228,0.32832,0.27027,0.301772,"Transformer Better (Precision, Recall, F1-Score)"
74,RED,0.5,0.783784,0.610526,0.75,0.486486,0.590164,-0.25,0.297298,0.020362,Mixed: Transformer Better (Recall); IV3-GRU Better (Precision)
75,BROWN,0.809524,0.894737,0.85,0.815789,0.815789,0.815789,-0.006265,0.078948,0.034211,Transformer Better (Recall)
76,BLACK,0.805556,0.805556,0.805556,0.83871,0.722222,0.776119,-0.033154,0.083334,0.029437,Transformer Better (Recall)
77,WHITE,0.723404,0.918919,0.809524,0.857143,0.324324,0.470588,-0.133739,0.594595,0.338936,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
78,YELLOW,0.945946,0.972222,0.958904,0.666667,0.388889,0.491228,0.279279,0.583333,0.467676,"Transformer Better (Precision, Recall, F1-Score)"
79,ORANGE,0.6875,0.942857,0.795181,0.8,0.457143,0.581818,-0.1125,0.485714,0.213363,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
80,GRAY,0.871795,0.871795,0.871795,0.945946,0.897436,0.921053,-0.074151,-0.025641,-0.049258,IV3-GRU Better (Precision)
81,PINK,0.75,0.916667,0.825,0.742857,0.722222,0.732394,0.007143,0.194445,0.092606,"Transformer Better (Recall, F1-Score)"
82,VIOLET,0.921053,0.921053,0.921053,0.789474,0.789474,0.789474,0.131579,0.131579,0.131579,"Transformer Better (Precision, Recall, F1-Score)"
83,LIGHT,0.85,0.944444,0.894737,0.75,0.75,0.75,0.1,0.194444,0.144737,"Transformer Better (Precision, Recall, F1-Score)"
84,DARK,0.948718,1.0,0.973684,0.837838,0.837838,0.837838,0.11088,0.162162,0.135846,"Transformer Better (Precision, Recall, F1-Score)"
85,BREAD,0.727273,0.941176,0.820513,0.72973,0.794118,0.760563,-0.002457,0.147058,0.05995,"Transformer Better (Recall, F1-Score)"
86,EGG,0.837838,0.911765,0.873239,0.733333,0.647059,0.6875,0.104505,0.264706,0.185739,"Transformer Better (Precision, Recall, F1-Score)"
87,FISH,0.833333,0.909091,0.869565,0.903226,0.848485,0.875,-0.069893,0.060606,-0.005435,Mixed: Transformer Better (Recall); IV3-GRU Better (Precision)
88,MEAT,0.916667,0.916667,0.916667,0.885714,0.861111,0.873239,0.030953,0.055556,0.043428,Transformer Better (Recall)
89,CHICKEN,0.852941,0.852941,0.852941,0.8,0.705882,0.75,0.052941,0.147059,0.102941,"Transformer Better (Precision, Recall, F1-Score)"
90,SPAGHETTI,0.790698,0.971429,0.871795,0.823529,0.8,0.811594,-0.032831,0.171429,0.060201,"Transformer Better (Recall, F1-Score)"
91,RICE,0.970588,1.0,0.985075,0.84375,0.818182,0.830769,0.126838,0.181818,0.154306,"Transformer Better (Precision, Recall, F1-Score)"
92,LONGANISA,0.941176,0.941176,0.941176,0.764706,0.764706,0.764706,0.17647,0.17647,0.17647,"Transformer Better (Precision, Recall, F1-Score)"
93,SHRIMP,0.714286,0.857143,0.779221,0.793103,0.657143,0.71875,-0.078817,0.2,0.060471,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
94,CRAB,0.885714,0.911765,0.898551,0.8,0.823529,0.811594,0.085714,0.088236,0.086957,"Transformer Better (Precision, Recall, F1-Score)"
95,HOT,0.666667,0.972973,0.791209,0.857143,0.648649,0.738462,-0.190476,0.324324,0.052747,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
96,COLD,0.921053,0.921053,0.921053,0.828571,0.763158,0.794521,0.092482,0.157895,0.126532,"Transformer Better (Precision, Recall, F1-Score)"
97,JUICE,0.767442,0.891892,0.825,0.864865,0.864865,0.864865,-0.097423,0.027027,-0.039865,IV3-GRU Better (Precision)
98,MILK,0.615385,0.888889,0.727273,0.631579,0.666667,0.648649,-0.016194,0.222222,0.078624,"Transformer Better (Recall, F1-Score)"
99,COFFEE,0.923077,1.0,0.96,0.90625,0.805556,0.852941,0.016827,0.194444,0.107059,"Transformer Better (Recall, F1-Score)"
100,TEA,0.972222,0.972222,0.972222,0.810811,0.833333,0.821918,0.161411,0.138889,0.150304,"Transformer Better (Precision, Recall, F1-Score)"
101,BEER,0.878049,0.972973,0.923077,0.84375,0.72973,0.782609,0.034299,0.243243,0.140468,"Transformer Better (Recall, F1-Score)"
102,WINE,0.891892,0.916667,0.90411,0.727273,0.444444,0.551724,0.164619,0.472223,0.352386,"Transformer Better (Precision, Recall, F1-Score)"
103,SUGAR,0.627451,0.888889,0.735632,0.76,0.527778,0.622951,-0.132549,0.361111,0.112681,"Mixed: Transformer Better (Recall, F1-Score); IV3-GRU Better (Precision)"
104,NO SUGAR,0.790698,0.944444,0.860759,0.8,0.555556,0.655738,-0.009302,0.388888,0.205021,"Transformer Better (Recall, F1-Score)"
