Transformer,,,,
File Name,Frame Range,Ground Truth Category,Predicted Category,Match Status
continuous_0005_S4_strategy2.npz,12564–16763,SURVIVAL,—,FN
continuous_0005_S4_strategy2.npz,13933–17433,—,FOOD,FP
continuous_0005_S4_strategy2.npz,16763–20928,GREETING,GREETING,TP
continuous_0006_S4_strategy2.npz,0–4299,FOOD,FOOD,TP
continuous_0006_S4_strategy2.npz,4299–8764,GREETING,GREETING,TP
continuous_0006_S4_strategy2.npz,8764–13163,NUMBER,NUMBER,TP
continuous_0006_S4_strategy2.npz,13163–17528,FAMILY,FAMILY,TP
continuous_0006_S4_strategy2.npz,17528–21860,CALENDAR,CALENDAR,TP
continuous_0006_S4_strategy2.npz,21860–26593,SURVIVAL,SURVIVAL,TP
continuous_0006_S4_strategy2.npz,24100–27533,—,RELATIONSHIPS,FP
continuous_0006_S4_strategy2.npz,26593–30992,COLOR,COLOR,TP
continuous_0007_S4_strategy2.npz,0–4299,DRINK,DRINK,TP
continuous_0007_S4_strategy2.npz,4299–8639,FOOD,FOOD,TP
continuous_0007_S4_strategy2.npz,8639–12738,FAMILY,—,FN
continuous_0007_S4_strategy2.npz,9033–12066,—,FAMILY,FP
continuous_0007_S4_strategy2.npz,12066–15066,—,NUMBER,FP
continuous_0007_S4_strategy2.npz,12738–16904,GREETING,GREETING,TP
continuous_0007_S4_strategy2.npz,16904–21436,NUMBER,NUMBER,TP
continuous_0007_S4_strategy2.npz,21436–25935,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0007_S4_strategy2.npz,25935–30134,SURVIVAL,SURVIVAL,TP
continuous_0008_S4_strategy2.npz,0–4265,NUMBER,NUMBER,TP
continuous_0008_S4_strategy2.npz,4265–8431,FAMILY,FAMILY,TP
continuous_0008_S4_strategy2.npz,6333–9500,—,GREETING,FP
continuous_0008_S4_strategy2.npz,8431–12630,GREETING,—,FN
continuous_0008_S4_strategy2.npz,12630–16995,CALENDAR,CALENDAR,TP
continuous_0008_S4_strategy2.npz,16995–21060,DAYS,DAYS,TP
continuous_0008_S4_strategy2.npz,21060–25359,FOOD,FOOD,TP
continuous_0009_S4_strategy2.npz,0–4599,DRINK,DRINK,TP
continuous_0009_S4_strategy2.npz,3033–6100,—,FAMILY,FP
continuous_0009_S4_strategy2.npz,4599–8765,FAMILY,FAMILY,TP
continuous_0009_S4_strategy2.npz,8765–12930,CALENDAR,CALENDAR,TP
continuous_0009_S4_strategy2.npz,12930–17295,COLOR,COLOR,TP
continuous_0009_S4_strategy2.npz,17295–21394,FOOD,FOOD,TP
continuous_0010_S4_strategy2.npz,0–4232,DAYS,DAYS,TP
continuous_0010_S4_strategy2.npz,4200–6300,—,CALENDAR,FP
continuous_0010_S4_strategy2.npz,4232–8297,CALENDAR,CALENDAR,TP
continuous_0010_S4_strategy2.npz,8297–12462,FOOD,FOOD,TP
continuous_0010_S4_strategy2.npz,12462–16894,COLOR,COLOR,TP
continuous_0010_S4_strategy2.npz,12633–14733,—,DRINK,FP
continuous_0010_S4_strategy2.npz,16894–21059,FAMILY,FAMILY,TP
continuous_0011_S4_strategy2.npz,0–4532,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0011_S4_strategy2.npz,4532–8797,GREETING,GREETING,TP
continuous_0011_S4_strategy2.npz,8797–13129,SURVIVAL,SURVIVAL,TP
continuous_0011_S4_strategy2.npz,10866–14500,—,COLOR,FP
continuous_0011_S4_strategy2.npz,13129–17461,COLOR,COLOR,TP
continuous_0011_S4_strategy2.npz,17461–21760,FOOD,FOOD,TP
continuous_0012_S4_strategy2.npz,0–4199,NUMBER,NUMBER,TP
continuous_0012_S4_strategy2.npz,4199–8465,SURVIVAL,SURVIVAL,TP
continuous_0012_S4_strategy2.npz,8465–12497,CALENDAR,CALENDAR,TP
continuous_0012_S4_strategy2.npz,12497–16729,DRINK,DRINK,TP
continuous_0012_S4_strategy2.npz,16729–21061,COLOR,COLOR,TP
continuous_0012_S4_strategy2.npz,21061–25560,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0012_S4_strategy2.npz,24466–27200,—,RELATIONSHIPS,FP
continuous_0012_S4_strategy2.npz,25560–29924,DAYS,DAYS,TP
continuous_0013_S4_strategy2.npz,0–4465,CALENDAR,CALENDAR,TP
continuous_0013_S4_strategy2.npz,2633–5300,—,CALENDAR,FP
continuous_0013_S4_strategy2.npz,4465–8829,DAYS,DAYS,TP
continuous_0013_S4_strategy2.npz,8829–12928,GREETING,GREETING,TP
continuous_0013_S4_strategy2.npz,12928–17094,RELATIONSHIPS,—,FN
continuous_0013_S4_strategy2.npz,13266–15933,—,DAYS,FP
continuous_0013_S4_strategy2.npz,15933–18600,—,RELATIONSHIPS,FP
continuous_0013_S4_strategy2.npz,17094–21259,NUMBER,NUMBER,TP
continuous_0014_S4_strategy2.npz,0–4232,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0014_S4_strategy2.npz,4232–8497,FOOD,FOOD,TP
continuous_0014_S4_strategy2.npz,8497–12662,GREETING,GREETING,TP
continuous_0014_S4_strategy2.npz,12662–16186,DAYS,DAYS,TP
continuous_0014_S4_strategy2.npz,16186–20451,SURVIVAL,SURVIVAL,TP
continuous_0014_S4_strategy2.npz,20451–24479,CALENDAR,CALENDAR,TP
continuous_0014_S4_strategy2.npz,24479–28678,NUMBER,NUMBER,TP
continuous_0015_S4_strategy2.npz,0–4466,GREETING,GREETING,TP
continuous_0015_S4_strategy2.npz,4466–8731,FOOD,FOOD,TP
continuous_0015_S4_strategy2.npz,8731–12996,DRINK,DRINK,TP
continuous_0015_S4_strategy2.npz,12996–17161,CALENDAR,CALENDAR,TP
continuous_0015_S4_strategy2.npz,17161–21293,DAYS,DAYS,TP
continuous_0015_S4_strategy2.npz,21293–25625,FAMILY,FAMILY,TP
continuous_0016_S4_strategy2.npz,0–4324,FOOD,FOOD,TP
continuous_0016_S4_strategy2.npz,3033–6100,—,DAYS,FP
continuous_0016_S4_strategy2.npz,4324–8489,NUMBER,NUMBER,TP
continuous_0016_S4_strategy2.npz,8489–12954,COLOR,COLOR,TP
continuous_0016_S4_strategy2.npz,12233–15300,—,COLOR,FP
continuous_0016_S4_strategy2.npz,12954–17186,DRINK,DRINK,TP
continuous_0016_S4_strategy2.npz,17186–21418,DAYS,DAYS,TP
continuous_0017_S4_strategy2.npz,0–4299,FOOD,FOOD,TP
continuous_0017_S4_strategy2.npz,2666–5333,—,DRINK,FP
continuous_0017_S4_strategy2.npz,4299–8464,CALENDAR,CALENDAR,TP
continuous_0017_S4_strategy2.npz,8464–12696,DRINK,COLOR,TP
continuous_0017_S4_strategy2.npz,10666–13333,—,FAMILY,FP
continuous_0017_S4_strategy2.npz,12696–16695,FAMILY,FAMILY,TP
continuous_0017_S4_strategy2.npz,16695–20927,DAYS,DAYS,TP
continuous_0017_S4_strategy2.npz,18666–21333,—,COLOR,FP
continuous_0017_S4_strategy2.npz,20927–25059,GREETING,GREETING,TP
continuous_0017_S4_strategy2.npz,25059–29358,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0018_S4_strategy2.npz,0–4299,GREETING,GREETING,TP
continuous_0018_S4_strategy2.npz,2700–5400,—,FAMILY,FP
continuous_0018_S4_strategy2.npz,4299–8331,FAMILY,—,FN
continuous_0018_S4_strategy2.npz,5400–8100,—,DRINK,FP
continuous_0018_S4_strategy2.npz,8100–10800,—,RELATIONSHIPS,FP
continuous_0018_S4_strategy2.npz,8331–12596,RELATIONSHIPS,—,FN
continuous_0018_S4_strategy2.npz,10800–13500,—,SURVIVAL,FP
continuous_0018_S4_strategy2.npz,12596–16895,FOOD,FOOD,TP
continuous_0018_S4_strategy2.npz,16895–21127,SURVIVAL,SURVIVAL,TP
continuous_0018_S4_strategy2.npz,21127–25626,COLOR,COLOR,TP
continuous_0018_S4_strategy2.npz,24300–27000,—,CALENDAR,FP
continuous_0018_S4_strategy2.npz,25626–29725,CALENDAR,CALENDAR,TP
continuous_0019_S4_strategy2.npz,0–4166,NUMBER,NUMBER,TP
continuous_0019_S4_strategy2.npz,3200–6433,—,NUMBER,FP
continuous_0019_S4_strategy2.npz,4166–8365,COLOR,COLOR,TP
continuous_0019_S4_strategy2.npz,8365–12597,DAYS,DAYS,TP
continuous_0019_S4_strategy2.npz,12597–17129,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0019_S4_strategy2.npz,12900–16100,—,RELATIONSHIPS,FP
continuous_0019_S4_strategy2.npz,17129–21394,CALENDAR,CALENDAR,TP
continuous_0019_S4_strategy2.npz,21394–25793,FAMILY,FAMILY,TP
continuous_0020_S4_strategy2.npz,0–3366,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0020_S4_strategy2.npz,3366–7932,FOOD,FOOD,TP
continuous_0020_S4_strategy2.npz,7932–12097,FAMILY,FAMILY,TP
continuous_0020_S4_strategy2.npz,12097–16229,SURVIVAL,SURVIVAL,TP
continuous_0020_S4_strategy2.npz,16229–20828,CALENDAR,CALENDAR,TP
continuous_0021_S4_strategy2.npz,0–4165,SURVIVAL,SURVIVAL,TP
continuous_0021_S4_strategy2.npz,3033–6066,—,DRINK,FP
continuous_0021_S4_strategy2.npz,4165–8597,DRINK,—,FN
continuous_0021_S4_strategy2.npz,8597–12929,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0021_S4_strategy2.npz,12929–17161,COLOR,COLOR,TP
continuous_0021_S4_strategy2.npz,17161–21326,FAMILY,FAMILY,TP
continuous_0022_S4_strategy2.npz,0–4299,COLOR,COLOR,TP
continuous_0022_S4_strategy2.npz,4299–7320,CALENDAR,CALENDAR,TP
continuous_0022_S4_strategy2.npz,7320–11420,GREETING,GREETING,TP
continuous_0022_S4_strategy2.npz,11420–16319,DAYS,DAYS,TP
continuous_0022_S4_strategy2.npz,14666–17600,—,RELATIONSHIPS,FP
continuous_0022_S4_strategy2.npz,16319–20551,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0023_S4_strategy2.npz,0–4199,COLOR,COLOR,TP
continuous_0023_S4_strategy2.npz,4199–8565,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0023_S4_strategy2.npz,8565–12022,CALENDAR,—,FN
continuous_0023_S4_strategy2.npz,8900–11866,—,CALENDAR,FP
continuous_0023_S4_strategy2.npz,11866–14833,—,CALENDAR,FP
continuous_0023_S4_strategy2.npz,12022–16287,DRINK,DRINK,TP
continuous_0023_S4_strategy2.npz,16287–20786,NUMBER,NUMBER,TP
continuous_0024_S4_strategy2.npz,0–4266,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0024_S4_strategy2.npz,2800–5633,—,DAYS,FP
continuous_0024_S4_strategy2.npz,4266–8365,DAYS,—,FN
continuous_0024_S4_strategy2.npz,5633–8466,—,FAMILY,FP
continuous_0024_S4_strategy2.npz,8365–12830,GREETING,GREETING,TP
continuous_0024_S4_strategy2.npz,12830–17029,NUMBER,NUMBER,TP
continuous_0024_S4_strategy2.npz,17029–21195,CALENDAR,CALENDAR,TP
continuous_0024_S4_strategy2.npz,19766–22600,—,CALENDAR,FP
continuous_0024_S4_strategy2.npz,21195–25427,FOOD,FOOD,TP
continuous_0025_S4_strategy2.npz,0–4132,GREETING,GREETING,TP
continuous_0025_S4_strategy2.npz,2833–5700,—,FAMILY,FP
continuous_0025_S4_strategy2.npz,4132–8598,COLOR,COLOR,TP
continuous_0025_S4_strategy2.npz,8598–12797,FOOD,FOOD,TP
continuous_0025_S4_strategy2.npz,12797–16996,FAMILY,—,FN
continuous_0025_S4_strategy2.npz,14300–17166,—,FAMILY,FP
continuous_0025_S4_strategy2.npz,16996–21361,NUMBER,NUMBER,TP
continuous_0025_S4_strategy2.npz,20033–22900,—,COLOR,FP
continuous_0025_S4_strategy2.npz,21361–25760,CALENDAR,CALENDAR,TP
continuous_0026_S4_strategy2.npz,0–4266,NUMBER,NUMBER,TP
continuous_0026_S4_strategy2.npz,3000–6000,—,DAYS,FP
continuous_0026_S4_strategy2.npz,4266–8398,DAYS,—,FN
continuous_0026_S4_strategy2.npz,6000–9000,—,NUMBER,FP
continuous_0026_S4_strategy2.npz,8398–12563,GREETING,GREETING,TP
continuous_0026_S4_strategy2.npz,12563–16795,SURVIVAL,SURVIVAL,TP
continuous_0026_S4_strategy2.npz,15000–18000,—,COLOR,FP
continuous_0026_S4_strategy2.npz,16795–21027,FOOD,FOOD,TP
continuous_0027_S4_strategy2.npz,0–4165,CALENDAR,CALENDAR,TP
continuous_0027_S4_strategy2.npz,4165–8464,FAMILY,FAMILY,TP
continuous_0027_S4_strategy2.npz,8464–12963,DRINK,DRINK,TP
continuous_0027_S4_strategy2.npz,12033–15033,—,DAYS,FP
continuous_0027_S4_strategy2.npz,12963–17228,DAYS,—,FN
continuous_0027_S4_strategy2.npz,15033–18033,—,NUMBER,FP
continuous_0027_S4_strategy2.npz,17228–21560,NUMBER,—,FN
continuous_0027_S4_strategy2.npz,18033–21066,—,NUMBER,FP
continuous_0027_S4_strategy2.npz,21560–25892,GREETING,GREETING,TP
continuous_0027_S4_strategy2.npz,25892–30091,SURVIVAL,SURVIVAL,TP
continuous_0028_S4_strategy2.npz,0–4365,COLOR,COLOR,TP
continuous_0028_S4_strategy2.npz,4365–8497,GREETING,GREETING,TP
continuous_0028_S4_strategy2.npz,8497–12529,FAMILY,FAMILY,TP
continuous_0028_S4_strategy2.npz,12529–17128,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0028_S4_strategy2.npz,17128–21360,DAYS,DAYS,TP
continuous_0029_S4_strategy2.npz,0–4099,NUMBER,NUMBER,TP
continuous_0029_S4_strategy2.npz,4099–8365,DAYS,DAYS,TP
continuous_0029_S4_strategy2.npz,8365–12564,SURVIVAL,SURVIVAL,TP
continuous_0029_S4_strategy2.npz,10166–13533,—,CALENDAR,FP
continuous_0029_S4_strategy2.npz,12564–16030,CALENDAR,CALENDAR,TP
continuous_0029_S4_strategy2.npz,16030–20329,FOOD,FOOD,TP
continuous_0030_S4_strategy2.npz,0–4266,DRINK,DRINK,TP
continuous_0030_S4_strategy2.npz,3000–6033,—,FOOD,FP
continuous_0030_S4_strategy2.npz,4266–8465,FOOD,—,FN
continuous_0030_S4_strategy2.npz,6033–9066,—,DAYS,FP
continuous_0030_S4_strategy2.npz,8465–12697,DAYS,—,FN
continuous_0030_S4_strategy2.npz,9066–12066,—,FAMILY,FP
continuous_0030_S4_strategy2.npz,12066–15100,—,RELATIONSHIPS,FP
continuous_0030_S4_strategy2.npz,12697–16929,COLOR,COLOR,TP
continuous_0030_S4_strategy2.npz,16929–21161,FAMILY,FAMILY,TP
continuous_0031_S4_strategy2.npz,0–4233,SURVIVAL,SURVIVAL,TP
continuous_0031_S4_strategy2.npz,2666–5333,—,COLOR,FP
continuous_0031_S4_strategy2.npz,4233–8032,GREETING,—,FN
continuous_0031_S4_strategy2.npz,5333–8000,—,GREETING,FP
continuous_0031_S4_strategy2.npz,8000–10666,—,GREETING,FP
continuous_0031_S4_strategy2.npz,8032–12264,COLOR,—,FN
continuous_0031_S4_strategy2.npz,10666–13333,—,COLOR,FP
continuous_0031_S4_strategy2.npz,12264–16496,NUMBER,NUMBER,TP
continuous_0031_S4_strategy2.npz,16000–18666,—,GREETING,FP
continuous_0031_S4_strategy2.npz,16496–20795,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0031_S4_strategy2.npz,20795–25294,DRINK,DRINK,TP
continuous_0031_S4_strategy2.npz,25294–29356,DAYS,DAYS,TP
continuous_0032_S4_strategy2.npz,0–4399,COLOR,COLOR,TP
continuous_0032_S4_strategy2.npz,4399–8764,GREETING,GREETING,TP
continuous_0032_S4_strategy2.npz,8764–13063,FOOD,FOOD,TP
continuous_0032_S4_strategy2.npz,13063–17328,NUMBER,NUMBER,TP
continuous_0032_S4_strategy2.npz,17328–21527,DAYS,DAYS,TP
continuous_0033_S4_strategy2.npz,0–4232,NUMBER,NUMBER,TP
continuous_0033_S4_strategy2.npz,3033–6066,—,FAMILY,FP
continuous_0033_S4_strategy2.npz,4232–8497,FAMILY,—,FN
continuous_0033_S4_strategy2.npz,8497–12662,DAYS,DAYS,TP
continuous_0033_S4_strategy2.npz,12662–17127,DRINK,DRINK,TP
continuous_0033_S4_strategy2.npz,15200–18233,—,RELATIONSHIPS,FP
continuous_0033_S4_strategy2.npz,17127–21292,SURVIVAL,SURVIVAL,TP
continuous_0034_S4_strategy2.npz,0–4099,GREETING,GREETING,TP
continuous_0034_S4_strategy2.npz,4099–8431,SURVIVAL,SURVIVAL,TP
continuous_0034_S4_strategy2.npz,6200–9300,—,NUMBER,FP
continuous_0034_S4_strategy2.npz,8431–12963,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0034_S4_strategy2.npz,12433–15533,—,RELATIONSHIPS,FP
continuous_0034_S4_strategy2.npz,12963–17162,NUMBER,—,FN
continuous_0034_S4_strategy2.npz,15533–18633,—,NUMBER,FP
continuous_0034_S4_strategy2.npz,17162–21761,FOOD,FOOD,TP
continuous_0035_S4_strategy2.npz,0–4299,NUMBER,NUMBER,TP
continuous_0035_S4_strategy2.npz,4299–8431,GREETING,GREETING,TP
continuous_0035_S4_strategy2.npz,8431–12697,SURVIVAL,—,FN
continuous_0035_S4_strategy2.npz,10466–13933,—,SURVIVAL,FP
continuous_0035_S4_strategy2.npz,12697–16962,DAYS,DAYS,TP
continuous_0035_S4_strategy2.npz,16962–20928,FAMILY,FAMILY,TP
continuous_0036_S4_strategy2.npz,0–4532,GREETING,GREETING,TP
continuous_0036_S4_strategy2.npz,2966–5966,—,NUMBER,FP
continuous_0036_S4_strategy2.npz,4532–8731,NUMBER,NUMBER,TP
continuous_0036_S4_strategy2.npz,8731–12797,SURVIVAL,SURVIVAL,TP
continuous_0036_S4_strategy2.npz,11966–14966,—,DRINK,FP
continuous_0036_S4_strategy2.npz,12797–17329,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0036_S4_strategy2.npz,17329–21561,DRINK,DRINK,TP
continuous_0036_S4_strategy2.npz,21561–25802,FOOD,FOOD,TP
continuous_0036_S4_strategy2.npz,25802–29934,CALENDAR,CALENDAR,TP
continuous_0037_S4_strategy2.npz,0–4232,NUMBER,NUMBER,TP
continuous_0037_S4_strategy2.npz,4232–8497,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0037_S4_strategy2.npz,8497–12662,GREETING,GREETING,TP
continuous_0037_S4_strategy2.npz,11900–14300,—,CALENDAR,FP
continuous_0037_S4_strategy2.npz,12662–17128,COLOR,COLOR,TP
continuous_0037_S4_strategy2.npz,17128–21994,CALENDAR,CALENDAR,TP
continuous_0037_S4_strategy2.npz,19066–23833,—,CALENDAR,FP
continuous_0037_S4_strategy2.npz,21994–26226,SURVIVAL,SURVIVAL,TP
continuous_0038_S4_strategy2.npz,0–4466,COLOR,COLOR,TP
continuous_0038_S4_strategy2.npz,3000–6000,—,COLOR,FP
continuous_0038_S4_strategy2.npz,4466–8765,NUMBER,—,FN
continuous_0038_S4_strategy2.npz,8765–12930,GREETING,GREETING,TP
continuous_0038_S4_strategy2.npz,12930–17129,CALENDAR,CALENDAR,TP
continuous_0038_S4_strategy2.npz,17129–21095,DRINK,DRINK,TP
continuous_0039_S4_strategy2.npz,0–4165,GREETING,GREETING,TP
continuous_0039_S4_strategy2.npz,2700–5433,—,FAMILY,FP
continuous_0039_S4_strategy2.npz,4165–8697,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0039_S4_strategy2.npz,8697–12962,NUMBER,NUMBER,TP
continuous_0039_S4_strategy2.npz,12962–17394,SURVIVAL,—,FN
continuous_0039_S4_strategy2.npz,16300–19033,—,SURVIVAL,FP
continuous_0039_S4_strategy2.npz,17394–21593,FOOD,FOOD,TP
continuous_0039_S4_strategy2.npz,21593–25559,FAMILY,—,FN
continuous_0039_S4_strategy2.npz,24466–27200,—,FAMILY,FP
continuous_0039_S4_strategy2.npz,25559–29924,DRINK,DRINK,TP
continuous_0040_S4_strategy2.npz,0–4532,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0040_S4_strategy2.npz,2833–5666,—,DRINK,FP
continuous_0040_S4_strategy2.npz,4532–8831,COLOR,COLOR,TP
continuous_0040_S4_strategy2.npz,8831–12996,DAYS,DAYS,TP
continuous_0040_S4_strategy2.npz,12996–17161,CALENDAR,CALENDAR,TP
continuous_0040_S4_strategy2.npz,17161–21293,FAMILY,FAMILY,TP
continuous_0040_S4_strategy2.npz,19833–22666,—,FAMILY,FP
continuous_0040_S4_strategy2.npz,21293–25492,SURVIVAL,SURVIVAL,TP
continuous_0041_S4_strategy2.npz,0–5299,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0041_S4_strategy2.npz,5299–9665,SURVIVAL,SURVIVAL,TP
continuous_0041_S4_strategy2.npz,8966–11933,—,NUMBER,FP
continuous_0041_S4_strategy2.npz,9665–13964,DAYS,DAYS,TP
continuous_0041_S4_strategy2.npz,13964–18163,NUMBER,NUMBER,TP
continuous_0041_S4_strategy2.npz,17933–20900,—,FAMILY,FP
continuous_0041_S4_strategy2.npz,18163–22729,FAMILY,FAMILY,TP
continuous_0041_S4_strategy2.npz,22729–26894,GREETING,—,FN
continuous_0041_S4_strategy2.npz,23900–26900,—,GREETING,FP
continuous_0042_S4_strategy2.npz,0–4265,SURVIVAL,SURVIVAL,TP
continuous_0042_S4_strategy2.npz,4265–8530,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0042_S4_strategy2.npz,8530–12929,CALENDAR,CALENDAR,TP
continuous_0042_S4_strategy2.npz,12929–17261,NUMBER,NUMBER,TP
continuous_0042_S4_strategy2.npz,17261–21658,DAYS,DAYS,TP
continuous_0042_S4_strategy2.npz,21658–25690,FAMILY,FAMILY,TP
continuous_0043_S4_strategy2.npz,0–4364,DAYS,DAYS,TP
continuous_0043_S4_strategy2.npz,2766–5566,—,NUMBER,FP
continuous_0043_S4_strategy2.npz,4364–8396,DRINK,DRINK,TP
continuous_0043_S4_strategy2.npz,8396–12695,CALENDAR,CALENDAR,TP
continuous_0043_S4_strategy2.npz,11133–13900,—,COLOR,FP
continuous_0043_S4_strategy2.npz,12695–16827,COLOR,—,FN
continuous_0043_S4_strategy2.npz,13900–16700,—,RELATIONSHIPS,FP
continuous_0043_S4_strategy2.npz,16827–20992,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0043_S4_strategy2.npz,19466–22266,—,RELATIONSHIPS,FP
continuous_0043_S4_strategy2.npz,20992–25058,FAMILY,FAMILY,TP
continuous_0044_S4_strategy2.npz,0–4265,FOOD,FOOD,TP
continuous_0044_S4_strategy2.npz,4265–8497,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0044_S4_strategy2.npz,8497–12663,CALENDAR,CALENDAR,TP
continuous_0044_S4_strategy2.npz,12663–16862,GREETING,GREETING,TP
continuous_0044_S4_strategy2.npz,16862–21128,SURVIVAL,SURVIVAL,TP
continuous_0044_S4_strategy2.npz,21128–25193,FAMILY,—,FN
continuous_0044_S4_strategy2.npz,24300–27000,—,FAMILY,FP
continuous_0044_S4_strategy2.npz,25193–29725,COLOR,COLOR,TP
continuous_0045_S4_strategy2.npz,0–4299,FOOD,FOOD,TP
continuous_0045_S4_strategy2.npz,2933–5866,—,FAMILY,FP
continuous_0045_S4_strategy2.npz,4299–8298,FAMILY,—,FN
continuous_0045_S4_strategy2.npz,5866–8800,—,CALENDAR,FP
continuous_0045_S4_strategy2.npz,8298–12463,CALENDAR,—,FN
continuous_0045_S4_strategy2.npz,8800–11733,—,RELATIONSHIPS,FP
continuous_0045_S4_strategy2.npz,11733–14666,—,RELATIONSHIPS,FP
continuous_0045_S4_strategy2.npz,12463–16762,RELATIONSHIPS,—,FN
continuous_0045_S4_strategy2.npz,16762–20961,DAYS,DAYS,TP
continuous_0045_S4_strategy2.npz,20961–25160,GREETING,GREETING,TP
continuous_0045_S4_strategy2.npz,23466–26400,—,GREETING,FP
continuous_0045_S4_strategy2.npz,25160–29359,SURVIVAL,SURVIVAL,TP
continuous_0046_S4_strategy2.npz,0–4265,RELATIONSHIPS,RELATIONSHIPS,TP
continuous_0046_S4_strategy2.npz,4265–8397,GREETING,GREETING,TP
continuous_0046_S4_strategy2.npz,6600–9900,—,DRINK,FP
continuous_0046_S4_strategy2.npz,8397–12696,DRINK,—,FN
continuous_0046_S4_strategy2.npz,9900–13200,—,COLOR,FP
continuous_0046_S4_strategy2.npz,12696–16961,FOOD,FOOD,TP
continuous_0046_S4_strategy2.npz,16533–19833,—,COLOR,FP
continuous_0046_S4_strategy2.npz,16961–21327,COLOR,COLOR,TP
continuous_0046_S4_strategy2.npz,21327–25559,SURVIVAL,SURVIVAL,TP
continuous_0046_S4_strategy2.npz,25559–29758,DAYS,DAYS,TP
continuous_0047_S4_strategy2.npz,0–4666,FOOD,FOOD,TP
continuous_0047_S4_strategy2.npz,3600–7200,—,CALENDAR,FP
continuous_0047_S4_strategy2.npz,4666–9065,COLOR,COLOR,TP
continuous_0047_S4_strategy2.npz,9065–13330,CALENDAR,CALENDAR,TP
