Transformer,,,,
File Name,Frame Range,Ground Truth Gloss,Predicted Gloss,Match Status
continuous_0017_S4_strategy2.npz,2666–5333,—,COLD,FP
continuous_0017_S4_strategy2.npz,4299–8464,APRIL,APRIL,TP
continuous_0017_S4_strategy2.npz,8464–12696,HOT,HOT,TP
continuous_0017_S4_strategy2.npz,10666–13333,—,MOTHER,FP
continuous_0017_S4_strategy2.npz,12696–16695,PARENTS,PARENTS,TP
continuous_0017_S4_strategy2.npz,16695–20927,WEDNESDAY,WEDNESDAY,TP
continuous_0017_S4_strategy2.npz,18666–21333,—,MAY,FP
continuous_0017_S4_strategy2.npz,20927–25059,THANK YOU,THANK YOU,TP
continuous_0017_S4_strategy2.npz,25059–29358,WOMAN,WOMAN,TP
continuous_0018_S4_strategy2.npz,0–4299,HOW ARE YOU,HOW ARE YOU,TP
continuous_0018_S4_strategy2.npz,2700–5400,—,COUSIN,FP
continuous_0018_S4_strategy2.npz,4299–8331,COUSIN,—,FN
continuous_0018_S4_strategy2.npz,5400–8100,—,TOMORROW,FP
continuous_0018_S4_strategy2.npz,8100–10800,—,WOMAN,FP
continuous_0018_S4_strategy2.npz,8331–12596,WOMAN,—,FN
continuous_0018_S4_strategy2.npz,10800–13500,—,BLACK,FP
continuous_0018_S4_strategy2.npz,12596–16895,CHICKEN,CHICKEN,TP
continuous_0018_S4_strategy2.npz,16895–21127,UNDERSTAND,UNDERSTAND,TP
continuous_0018_S4_strategy2.npz,21127–25626,BLACK,BLACK,TP
continuous_0018_S4_strategy2.npz,24300–27000,—,MARCH,FP
continuous_0018_S4_strategy2.npz,25626–29725,MAY,MAY,TP
continuous_0019_S4_strategy2.npz,0–4166,NINE,NINE,TP
continuous_0019_S4_strategy2.npz,3200–6433,—,EIGHT,FP
continuous_0019_S4_strategy2.npz,4166–8365,WHITE,WHITE,TP
continuous_0019_S4_strategy2.npz,8365–12597,TOMORROW,TOMORROW,TP
continuous_0019_S4_strategy2.npz,12597–17129,MARRIED,MARRIED,TP
continuous_0019_S4_strategy2.npz,12900–16100,—,DEAF BLIND,FP
continuous_0019_S4_strategy2.npz,17129–21394,JUNE,JUNE,TP
continuous_0019_S4_strategy2.npz,21394–25793,PARENTS,PARENTS,TP
continuous_0020_S4_strategy2.npz,0–3366,BOY,BOY,TP
continuous_0020_S4_strategy2.npz,3366–7932,RICE,RICE,TP
continuous_0020_S4_strategy2.npz,7932–12097,AUNTIE,AUNTIE,TP
continuous_0020_S4_strategy2.npz,12097–16229,WRONG,WRONG,TP
continuous_0020_S4_strategy2.npz,16229–20828,APRIL,APRIL,TP
continuous_0021_S4_strategy2.npz,0–4165,FAST,FAST,TP
continuous_0021_S4_strategy2.npz,3033–6066,—,NO SUGAR,FP
continuous_0021_S4_strategy2.npz,4165–8597,NO SUGAR,—,FN
continuous_0021_S4_strategy2.npz,8597–12929,DEAF,DEAF,TP
continuous_0021_S4_strategy2.npz,12929–17161,VIOLET,VIOLET,TP
continuous_0021_S4_strategy2.npz,17161–21326,FATHER,FATHER,TP
continuous_0022_S4_strategy2.npz,0–4299,GREEN,GREEN,TP
continuous_0022_S4_strategy2.npz,4299–7320,MARCH,MARCH,TP
continuous_0022_S4_strategy2.npz,7320–11420,YOURE WELCOME,YOURE WELCOME,TP
continuous_0022_S4_strategy2.npz,11420–16319,TOMORROW,TOMORROW,TP
continuous_0022_S4_strategy2.npz,14666–17600,—,MOTHER,FP
continuous_0022_S4_strategy2.npz,16319–20551,MARRIED,MARRIED,TP
continuous_0023_S4_strategy2.npz,0–4199,ORANGE,ORANGE,TP
continuous_0023_S4_strategy2.npz,4199–8565,GIRL,GIRL,TP
continuous_0023_S4_strategy2.npz,8565–12022,OCTOBER,—,FN
continuous_0023_S4_strategy2.npz,8900–11866,—,LIGHT,FP
continuous_0023_S4_strategy2.npz,11866–14833,—,OCTOBER,FP
continuous_0023_S4_strategy2.npz,12022–16287,COFFEE,COFFEE,TP
continuous_0023_S4_strategy2.npz,16287–20786,THREE,THREE,TP
continuous_0024_S4_strategy2.npz,0–4266,DEAF,DEAF,TP
continuous_0024_S4_strategy2.npz,2800–5633,—,TOMORROW,FP
continuous_0024_S4_strategy2.npz,4266–8365,TOMORROW,—,FN
continuous_0024_S4_strategy2.npz,5633–8466,—,AUNTIE,FP
continuous_0024_S4_strategy2.npz,8365–12830,NICE TO MEET YOU,NICE TO MEET YOU,TP
continuous_0024_S4_strategy2.npz,12830–17029,SEVEN,SEVEN,TP
continuous_0024_S4_strategy2.npz,17029–21195,APRIL,APRIL,TP
continuous_0024_S4_strategy2.npz,19766–22600,—,SEPTEMBER,FP
continuous_0024_S4_strategy2.npz,21195–25427,CRAB,CRAB,TP
continuous_0025_S4_strategy2.npz,0–4132,HELLO,HELLO,TP
continuous_0025_S4_strategy2.npz,2833–5700,—,COUSIN,FP
continuous_0025_S4_strategy2.npz,4132–8598,DARK,DARK,TP
continuous_0025_S4_strategy2.npz,8598–12797,SHRIMP,SHRIMP,TP
continuous_0025_S4_strategy2.npz,12797–16996,MOTHER,—,FN
continuous_0025_S4_strategy2.npz,14300–17166,—,MOTHER,FP
continuous_0025_S4_strategy2.npz,16996–21361,ONE,ONE,TP
continuous_0025_S4_strategy2.npz,20033–22900,—,PINK,FP
continuous_0025_S4_strategy2.npz,21361–25760,APRIL,APRIL,TP
continuous_0026_S4_strategy2.npz,0–4266,TEN,TEN,TP
continuous_0026_S4_strategy2.npz,3000–6000,—,FRIDAY,FP
continuous_0026_S4_strategy2.npz,4266–8398,FRIDAY,—,FN
continuous_0026_S4_strategy2.npz,6000–9000,—,NINE,FP
continuous_0026_S4_strategy2.npz,8398–12563,HELLO,HELLO,TP
continuous_0026_S4_strategy2.npz,12563–16795,WRONG,WRONG,TP
continuous_0026_S4_strategy2.npz,15000–18000,—,RED,FP
continuous_0026_S4_strategy2.npz,16795–21027,EGG,EGG,TP
continuous_0027_S4_strategy2.npz,0–4165,AUGUST,AUGUST,TP
continuous_0027_S4_strategy2.npz,4165–8464,FATHER,FATHER,TP
continuous_0027_S4_strategy2.npz,8464–12963,COFFEE,COFFEE,TP
continuous_0027_S4_strategy2.npz,12033–15033,—,MONDAY,FP
continuous_0027_S4_strategy2.npz,12963–17228,MONDAY,—,FN
continuous_0027_S4_strategy2.npz,15033–18033,—,SEVEN,FP
continuous_0027_S4_strategy2.npz,17228–21560,SEVEN,—,FN
continuous_0027_S4_strategy2.npz,18033–21066,—,TEN,FP
continuous_0027_S4_strategy2.npz,21560–25892,GOOD AFTERNOON,GOOD AFTERNOON,TP
continuous_0027_S4_strategy2.npz,25892–30091,UNDERSTAND,UNDERSTAND,TP
continuous_0028_S4_strategy2.npz,0–4365,WHITE,WHITE,TP
continuous_0028_S4_strategy2.npz,4365–8497,GOOD EVENING,GOOD EVENING,TP
continuous_0028_S4_strategy2.npz,8497–12529,GRANDFATHER,GRANDFATHER,TP
continuous_0028_S4_strategy2.npz,12529–17128,WOMAN,WOMAN,TP
continuous_0028_S4_strategy2.npz,17128–21360,SATURDAY,SATURDAY,TP
continuous_0029_S4_strategy2.npz,0–4099,TEN,TEN,TP
continuous_0029_S4_strategy2.npz,4099–8365,TODAY,TODAY,TP
continuous_0029_S4_strategy2.npz,8365–12564,WRONG,WRONG,TP
continuous_0029_S4_strategy2.npz,10166–13533,—,SEPTEMBER,FP
continuous_0029_S4_strategy2.npz,12564–16030,AUGUST,AUGUST,TP
continuous_0029_S4_strategy2.npz,16030–20329,RICE,RICE,TP
continuous_0030_S4_strategy2.npz,0–4266,BEER,BEER,TP
continuous_0030_S4_strategy2.npz,3000–6033,—,CRAB,FP
continuous_0030_S4_strategy2.npz,4266–8465,CRAB,—,FN
continuous_0030_S4_strategy2.npz,6033–9066,—,YESTERDAY,FP
continuous_0030_S4_strategy2.npz,8465–12697,YESTERDAY,—,FN
continuous_0030_S4_strategy2.npz,9066–12066,—,AUNTIE,FP
continuous_0030_S4_strategy2.npz,12066–15100,—,DEAF,FP
continuous_0030_S4_strategy2.npz,12697–16929,DARK,DARK,TP
continuous_0030_S4_strategy2.npz,16929–21161,DAUGHTER,DAUGHTER,TP
continuous_0031_S4_strategy2.npz,0–4233,KNOW,KNOW,TP
continuous_0031_S4_strategy2.npz,2666–5333,—,BLUE,FP
continuous_0031_S4_strategy2.npz,4233–8032,GOOD AFTERNOON,—,FN
continuous_0031_S4_strategy2.npz,5333–8000,—,GOOD EVENING,FP
continuous_0031_S4_strategy2.npz,8000–10666,—,GOOD AFTERNOON,FP
continuous_0031_S4_strategy2.npz,8032–12264,DARK,—,FN
continuous_0031_S4_strategy2.npz,10666–13333,—,DARK,FP
continuous_0031_S4_strategy2.npz,12264–16496,TEN,TEN,TP
continuous_0031_S4_strategy2.npz,16000–18666,—,GOOD EVENING,FP
continuous_0031_S4_strategy2.npz,16496–20795,MAN,MAN,TP
continuous_0031_S4_strategy2.npz,20795–25294,MILK,MILK,TP
continuous_0031_S4_strategy2.npz,25294–29356,TODAY,TODAY,TP
continuous_0032_S4_strategy2.npz,0–4399,WHITE,WHITE,TP
continuous_0032_S4_strategy2.npz,4399–8764,GOOD AFTERNOON,GOOD AFTERNOON,TP
continuous_0032_S4_strategy2.npz,8764–13063,FISH,FISH,TP
continuous_0032_S4_strategy2.npz,13063–17328,SEVEN,SEVEN,TP
continuous_0032_S4_strategy2.npz,17328–21527,SATURDAY,SATURDAY,TP
continuous_0033_S4_strategy2.npz,0–4232,TEN,TEN,TP
continuous_0033_S4_strategy2.npz,3033–6066,—,AUNTIE,FP
continuous_0033_S4_strategy2.npz,4232–8497,AUNTIE,—,FN
continuous_0033_S4_strategy2.npz,8497–12662,SATURDAY,SATURDAY,TP
continuous_0033_S4_strategy2.npz,12662–17127,JUICE,JUICE,TP
continuous_0033_S4_strategy2.npz,15200–18233,—,DEAF,FP
continuous_0033_S4_strategy2.npz,17127–21292,FAST,FAST,TP
continuous_0034_S4_strategy2.npz,0–4099,GOOD EVENING,GOOD EVENING,TP
continuous_0034_S4_strategy2.npz,4099–8431,KNOW,KNOW,TP
continuous_0034_S4_strategy2.npz,6200–9300,—,ONE,FP
continuous_0034_S4_strategy2.npz,8431–12963,DEAF BLIND,DEAF BLIND,TP
continuous_0034_S4_strategy2.npz,12433–15533,—,BLIND,FP
continuous_0034_S4_strategy2.npz,12963–17162,ONE,—,FN
continuous_0034_S4_strategy2.npz,15533–18633,—,ONE,FP
continuous_0034_S4_strategy2.npz,17162–21761,MEAT,MEAT,TP
continuous_0035_S4_strategy2.npz,0–4299,FIVE,FIVE,TP
continuous_0035_S4_strategy2.npz,4299–8431,GOOD EVENING,GOOD EVENING,TP
continuous_0035_S4_strategy2.npz,8431–12697,WRONG,—,FN
continuous_0035_S4_strategy2.npz,10466–13933,—,WRONG,FP
continuous_0035_S4_strategy2.npz,12697–16962,MONDAY,MONDAY,TP
continuous_0035_S4_strategy2.npz,16962–20928,DAUGHTER,DAUGHTER,TP
continuous_0036_S4_strategy2.npz,0–4532,GOOD AFTERNOON,GOOD AFTERNOON,TP
continuous_0036_S4_strategy2.npz,2966–5966,—,EIGHT,FP
continuous_0036_S4_strategy2.npz,4532–8731,NINE,NINE,TP
continuous_0036_S4_strategy2.npz,8731–12797,FAST,FAST,TP
continuous_0036_S4_strategy2.npz,11966–14966,—,FIVE,FP
continuous_0036_S4_strategy2.npz,12797–17329,MARRIED,MARRIED,TP
continuous_0036_S4_strategy2.npz,17329–21561,JUICE,JUICE,TP
continuous_0036_S4_strategy2.npz,21561–25802,LONGANISA,LONGANISA,TP
continuous_0036_S4_strategy2.npz,25802–29934,AUGUST,AUGUST,TP
continuous_0037_S4_strategy2.npz,0–4232,NINE,NINE,TP
continuous_0037_S4_strategy2.npz,4232–8497,MAN,MAN,TP
continuous_0037_S4_strategy2.npz,8497–12662,NICE TO MEET YOU,NICE TO MEET YOU,TP
continuous_0037_S4_strategy2.npz,11900–14300,—,FEBRUARY,FP
continuous_0037_S4_strategy2.npz,12662–17128,BROWN,BROWN,TP
continuous_0037_S4_strategy2.npz,17128–21994,APRIL,APRIL,TP
continuous_0037_S4_strategy2.npz,19066–23833,—,FEBRUARY,FP
continuous_0037_S4_strategy2.npz,21994–26226,CORRECT,CORRECT,TP
continuous_0038_S4_strategy2.npz,0–4466,BROWN,BROWN,TP
continuous_0038_S4_strategy2.npz,3000–6000,—,TEN,FP
continuous_0038_S4_strategy2.npz,4466–8765,TEN,—,FN
continuous_0038_S4_strategy2.npz,8765–12930,THANK YOU,THANK YOU,TP
continuous_0038_S4_strategy2.npz,12930–17129,DECEMBER,DECEMBER,TP
continuous_0038_S4_strategy2.npz,17129–21095,MILK,MILK,TP
continuous_0039_S4_strategy2.npz,0–4165,HELLO,HELLO,TP
continuous_0039_S4_strategy2.npz,2700–5433,—,COUSIN,FP
continuous_0039_S4_strategy2.npz,4165–8697,BLIND,BLIND,TP
continuous_0039_S4_strategy2.npz,8697–12962,TWO,TWO,TP
continuous_0039_S4_strategy2.npz,12962–17394,NO,—,FN
continuous_0039_S4_strategy2.npz,16300–19033,—,NO,FP
continuous_0039_S4_strategy2.npz,17394–21593,FISH,FISH,TP
continuous_0039_S4_strategy2.npz,21593–25559,PARENTS,—,FN
continuous_0039_S4_strategy2.npz,24466–27200,—,PARENTS,FP
continuous_0039_S4_strategy2.npz,25559–29924,BEER,BEER,TP
continuous_0040_S4_strategy2.npz,0–4532,WEELCHAIR PERSON,WEELCHAIR PERSON,TP
continuous_0040_S4_strategy2.npz,2833–5666,—,MILK,FP
continuous_0040_S4_strategy2.npz,4532–8831,GREEN,GREEN,TP
continuous_0040_S4_strategy2.npz,8831–12996,MONDAY,MONDAY,TP
continuous_0040_S4_strategy2.npz,12996–17161,JANUARY,JANUARY,TP
continuous_0040_S4_strategy2.npz,17161–21293,GRANDMOTHER,GRANDMOTHER,TP
continuous_0040_S4_strategy2.npz,19833–22666,—,MOTHER,FP
continuous_0040_S4_strategy2.npz,21293–25492,YES,YES,TP
continuous_0041_S4_strategy2.npz,0–5299,GIRL,GIRL,TP
continuous_0041_S4_strategy2.npz,5299–9665,SLOW,SLOW,TP
continuous_0041_S4_strategy2.npz,8966–11933,—,EIGHT,FP
continuous_0041_S4_strategy2.npz,9665–13964,FRIDAY,FRIDAY,TP
continuous_0041_S4_strategy2.npz,13964–18163,FIVE,FIVE,TP
continuous_0041_S4_strategy2.npz,17933–20900,—,FATHER,FP
continuous_0041_S4_strategy2.npz,18163–22729,SON,SON,TP
continuous_0041_S4_strategy2.npz,22729–26894,YOURE WELCOME,—,FN
continuous_0041_S4_strategy2.npz,23900–26900,—,YOURE WELCOME,FP
continuous_0042_S4_strategy2.npz,0–4265,SLOW,SLOW,TP
continuous_0042_S4_strategy2.npz,4265–8530,DEAF,DEAF,TP
continuous_0042_S4_strategy2.npz,8530–12929,JUNE,JUNE,TP
continuous_0042_S4_strategy2.npz,12929–17261,TEN,TEN,TP
continuous_0042_S4_strategy2.npz,17261–21658,THURSDAY,THURSDAY,TP
continuous_0042_S4_strategy2.npz,21658–25690,COUSIN,COUSIN,TP
continuous_0043_S4_strategy2.npz,0–4364,FRIDAY,FRIDAY,TP
continuous_0043_S4_strategy2.npz,2766–5566,—,NINE,FP
continuous_0043_S4_strategy2.npz,4364–8396,MILK,MILK,TP
continuous_0043_S4_strategy2.npz,8396–12695,MAY,MAY,TP
continuous_0043_S4_strategy2.npz,11133–13900,—,BROWN,FP
continuous_0043_S4_strategy2.npz,12695–16827,BROWN,—,FN
continuous_0043_S4_strategy2.npz,13900–16700,—,DEAF,FP
continuous_0043_S4_strategy2.npz,16827–20992,HARD OF HEARING,HARD OF HEARING,TP
continuous_0043_S4_strategy2.npz,19466–22266,—,WOMAN,FP
continuous_0043_S4_strategy2.npz,20992–25058,COUSIN,COUSIN,TP
continuous_0044_S4_strategy2.npz,0–4265,RICE,RICE,TP
continuous_0044_S4_strategy2.npz,4265–8497,MAN,MAN,TP
continuous_0044_S4_strategy2.npz,8497–12663,FEBRUARY,FEBRUARY,TP
continuous_0044_S4_strategy2.npz,12663–16862,SEE YOU TOMORROW,SEE YOU TOMORROW,TP
continuous_0044_S4_strategy2.npz,16862–21128,KNOW,KNOW,TP
continuous_0044_S4_strategy2.npz,21128–25193,GRANDFATHER,—,FN
continuous_0044_S4_strategy2.npz,24300–27000,—,GRANDFATHER,FP
continuous_0044_S4_strategy2.npz,25193–29725,ORANGE,ORANGE,TP
continuous_0045_S4_strategy2.npz,0–4299,FISH,FISH,TP
continuous_0045_S4_strategy2.npz,2933–5866,—,PARENTS,FP
continuous_0045_S4_strategy2.npz,4299–8298,PARENTS,—,FN
continuous_0045_S4_strategy2.npz,5866–8800,—,DECEMBER,FP
continuous_0045_S4_strategy2.npz,8298–12463,DECEMBER,—,FN
continuous_0045_S4_strategy2.npz,8800–11733,—,DEAF,FP
continuous_0045_S4_strategy2.npz,11733–14666,—,GIRL,FP
continuous_0045_S4_strategy2.npz,12463–16762,DEAF,—,FN
continuous_0045_S4_strategy2.npz,16762–20961,FRIDAY,FRIDAY,TP
continuous_0045_S4_strategy2.npz,20961–25160,HOW ARE YOU,HOW ARE YOU,TP
continuous_0045_S4_strategy2.npz,23466–26400,—,THANK YOU,FP
continuous_0045_S4_strategy2.npz,25160–29359,NO,NO,TP
continuous_0046_S4_strategy2.npz,0–4265,MARRIED,MARRIED,TP
continuous_0046_S4_strategy2.npz,4265–8397,HELLO,HELLO,TP
continuous_0046_S4_strategy2.npz,6600–9900,—,MILK,FP
continuous_0046_S4_strategy2.npz,8397–12696,MILK,—,FN
continuous_0046_S4_strategy2.npz,9900–13200,—,WHITE,FP
continuous_0046_S4_strategy2.npz,12696–16961,FISH,FISH,TP
continuous_0046_S4_strategy2.npz,16533–19833,—,WHITE,FP
continuous_0046_S4_strategy2.npz,16961–21327,ORANGE,ORANGE,TP
continuous_0046_S4_strategy2.npz,21327–25559,DON'T KNOW,DON’T KNOW,TP
continuous_0046_S4_strategy2.npz,25559–29758,SATURDAY,SATURDAY,TP
continuous_0047_S4_strategy2.npz,0–4666,MEAT,MEAT,TP
continuous_0047_S4_strategy2.npz,3600–7200,—,JANUARY,FP
continuous_0047_S4_strategy2.npz,4666–9065,VIOLET,VIOLET,TP
continuous_0047_S4_strategy2.npz,9065–13330,SEPTEMBER,SEPTEMBER,TP
continuous_0047_S4_strategy2.npz,13330–17562,NO,NO,TP
continuous_0047_S4_strategy2.npz,17562–21661,BEER,BEER,TP
continuous_0048_S4_strategy2.npz,0–4299,WHITE,WHITE,TP
continuous_0048_S4_strategy2.npz,4299–8398,COLD,COLD,TP
