File Name,Frame Range,Ground Truth Gloss/Category,Predicted Gloss/Category,Match Status
continuous_0005_S0_strategy2.npz,725-846,CHICKEN,-,FN
continuous_0006_S0_strategy2.npz,105-532,FISH,FISH,TP
continuous_0006_S0_strategy2.npz,532-747,WOMAN,WOMAN,TP
continuous_0006_S0_strategy2.npz,747-853,VIOLET,VIOLET,TP
continuous_0006_S0_strategy2.npz,0-120,SON,-,FN
continuous_0006_S0_strategy2.npz,120-241,JULY,-,FN
continuous_0006_S0_strategy2.npz,241-362,BEER,-,FN
continuous_0006_S0_strategy2.npz,483-604,FAST,-,FN
continuous_0007_S0_strategy2.npz,103-208,-,MAN,FP
continuous_0007_S0_strategy2.npz,208-312,AUNTIE,AUNTIE,TP
continuous_0007_S0_strategy2.npz,312-522,-,COUSIN,FP
continuous_0007_S0_strategy2.npz,522-627,-,GREEN,FP
continuous_0007_S0_strategy2.npz,627-732,-,FIVE,FP
continuous_0007_S0_strategy2.npz,0-120,MAN,-,FN
continuous_0007_S0_strategy2.npz,241-362,COFFEE,-,FN
continuous_0007_S0_strategy2.npz,362-483,GREEN,-,FN
continuous_0007_S0_strategy2.npz,483-604,FIVE,-,FN
continuous_0007_S0_strategy2.npz,604-725,YESTERDAY,-,FN
continuous_0008_S0_strategy2.npz,208-312,-,THURSDAY,FP
continuous_0008_S0_strategy2.npz,312-417,-,DON’T UNDERSTAND,FP
continuous_0008_S0_strategy2.npz,417-627,GRAY,GRAY,TP
continuous_0008_S0_strategy2.npz,627-732,NICE TO MEET YOU,NICE TO MEET YOU,TP
continuous_0008_S0_strategy2.npz,0-120,WEELCHAIR PERSON,-,FN
continuous_0008_S0_strategy2.npz,120-241,AUGUST,-,FN
continuous_0008_S0_strategy2.npz,241-362,THURSDAY,-,FN
continuous_0008_S0_strategy2.npz,362-483,DON’T UNDERSTAND,-,FN
continuous_0009_S0_strategy2.npz,0-105,RICE,RICE,TP
continuous_0009_S0_strategy2.npz,105-213,-,THREE,FP
continuous_0009_S0_strategy2.npz,213-426,-,PINK,FP
continuous_0009_S0_strategy2.npz,426-532,-,PARENTS,FP
continuous_0009_S0_strategy2.npz,532-639,-,TEA,FP
continuous_0009_S0_strategy2.npz,639-747,-,JUICE,FP
continuous_0009_S0_strategy2.npz,747-853,GIRL,GIRL,TP
continuous_0009_S0_strategy2.npz,120-241,THREE,-,FN
continuous_0009_S0_strategy2.npz,241-362,RED,-,FN
continuous_0009_S0_strategy2.npz,362-483,MAY,-,FN
continuous_0009_S0_strategy2.npz,483-604,PARENTS,-,FN
continuous_0009_S0_strategy2.npz,604-725,JUICE,-,FN
continuous_0010_S0_strategy2.npz,0-121,THANK YOU,THANK YOU,TP
continuous_0010_S0_strategy2.npz,121-366,-,AUNTIE,FP
continuous_0010_S0_strategy2.npz,366-487,TEN,TEN,TP
continuous_0010_S0_strategy2.npz,487-609,HOT,HOT,TP
continuous_0010_S0_strategy2.npz,609-732,BROWN,BROWN,TP
continuous_0010_S0_strategy2.npz,120-241,BOY,-,FN
continuous_0010_S0_strategy2.npz,241-362,UNCLE,-,FN
continuous_0011_S0_strategy2.npz,0-121,-,DEAF,FP
continuous_0011_S0_strategy2.npz,121-366,-,DEAF BLIND,FP
continuous_0011_S0_strategy2.npz,366-732,BLACK,BLACK,TP
continuous_0011_S0_strategy2.npz,732-853,-,WEDNESDAY,FP
continuous_0011_S0_strategy2.npz,0-120,DEAF BLIND,-,FN
continuous_0011_S0_strategy2.npz,120-241,HOW ARE YOU,-,FN
continuous_0011_S0_strategy2.npz,241-362,MOTHER,-,FN
continuous_0011_S0_strategy2.npz,483-604,NO SUGAR,-,FN
continuous_0011_S0_strategy2.npz,604-725,TWO,-,FN
continuous_0011_S0_strategy2.npz,725-846,MEAT,-,FN
continuous_0012_S0_strategy2.npz,0-291,-,TUESDAY,FP
continuous_0012_S0_strategy2.npz,291-438,VIOLET,VIOLET,TP
continuous_0012_S0_strategy2.npz,438-583,-,SUGAR,FP
continuous_0012_S0_strategy2.npz,583-730,COUSIN,COUSIN,TP
continuous_0012_S0_strategy2.npz,0-120,TUESDAY,-,FN
continuous_0012_S0_strategy2.npz,120-240,DECEMBER,-,FN
continuous_0012_S0_strategy2.npz,361-482,HELLO,-,FN
continuous_0012_S0_strategy2.npz,482-603,SUGAR,-,FN
continuous_0013_S0_strategy2.npz,0-183,MILK,MILK,TP
continuous_0013_S0_strategy2.npz,183-366,SPAGHETTI,SPAGHETTI,TP
continuous_0013_S0_strategy2.npz,366-549,GOOD MORNING,GOOD MORNING,TP
continuous_0013_S0_strategy2.npz,549-732,DON’T UNDERSTAND,DON’T UNDERSTAND,TP
continuous_0013_S0_strategy2.npz,241-362,MAY,-,FN
continuous_0013_S0_strategy2.npz,604-725,HARD OF HEARING,-,FN
continuous_0014_S0_strategy2.npz,0-366,DON’T KNOW,DON’T KNOW,TP
continuous_0014_S0_strategy2.npz,366-487,-,MARRIED,FP
continuous_0014_S0_strategy2.npz,487-732,-,IM FINE,FP
continuous_0014_S0_strategy2.npz,120-241,EIGHT,-,FN
continuous_0014_S0_strategy2.npz,241-362,MARRIED,-,FN
continuous_0014_S0_strategy2.npz,362-483,IM FINE,-,FN
continuous_0014_S0_strategy2.npz,483-604,MONDAY,-,FN
continuous_0014_S0_strategy2.npz,604-725,MARCH,-,FN
continuous_0015_S0_strategy2.npz,0-121,TEA,TEA,TP
continuous_0015_S0_strategy2.npz,121-243,DEAF,DEAF,TP
continuous_0015_S0_strategy2.npz,243-366,-,DECEMBER,FP
continuous_0015_S0_strategy2.npz,366-487,TODAY,TODAY,TP
continuous_0015_S0_strategy2.npz,487-609,BLUE,BLUE,TP
continuous_0015_S0_strategy2.npz,609-732,GRANDMOTHER,GRANDMOTHER,TP
continuous_0015_S0_strategy2.npz,241-362,OCTOBER,-,FN
continuous_0016_S0_strategy2.npz,0-93,TWO,TWO,TP
continuous_0016_S0_strategy2.npz,93-283,-,WEDNESDAY,FP
continuous_0016_S0_strategy2.npz,283-474,-,SUNDAY,FP
continuous_0016_S0_strategy2.npz,474-568,COLD,COLD,TP
continuous_0016_S0_strategy2.npz,568-663,YOURE WELCOME,YOURE WELCOME,TP
continuous_0016_S0_strategy2.npz,663-853,WRONG,WRONG,TP
continuous_0016_S0_strategy2.npz,120-241,SUNDAY,-,FN
continuous_0016_S0_strategy2.npz,241-362,JUNE,-,FN
continuous_0016_S0_strategy2.npz,725-846,PINK,-,FN
continuous_0017_S0_strategy2.npz,0-145,-,WEDNESDAY,FP
continuous_0017_S0_strategy2.npz,145-291,DARK,DARK,TP
continuous_0017_S0_strategy2.npz,291-438,-,WEDNESDAY,FP
continuous_0017_S0_strategy2.npz,438-585,-,FRIDAY,FP
continuous_0017_S0_strategy2.npz,585-732,SEPTEMBER,SEPTEMBER,TP
continuous_0017_S0_strategy2.npz,0-120,SIX,-,FN
continuous_0017_S0_strategy2.npz,241-362,FRIDAY,-,FN
continuous_0017_S0_strategy2.npz,362-483,UNDERSTAND,-,FN
continuous_0017_S0_strategy2.npz,604-725,GOOD EVENING,-,FN
continuous_0018_S0_strategy2.npz,0-426,BREAD,BREAD,TP
continuous_0018_S0_strategy2.npz,426-853,HOT,HOT,TP
continuous_0018_S0_strategy2.npz,0-120,EIGHT,-,FN
continuous_0018_S0_strategy2.npz,241-362,WHITE,-,FN
continuous_0018_S0_strategy2.npz,362-483,GOOD AFTERNOON,-,FN
continuous_0018_S0_strategy2.npz,483-604,CORRECT,-,FN
continuous_0018_S0_strategy2.npz,725-846,JULY,-,FN
continuous_0019_S0_strategy2.npz,0-183,YES,YES,TP
continuous_0019_S0_strategy2.npz,183-366,EGG,EGG,TP
continuous_0019_S0_strategy2.npz,366-549,-,FIVE,FP
continuous_0019_S0_strategy2.npz,549-732,GRAY,GRAY,TP
continuous_0019_S0_strategy2.npz,241-362,GOOD EVENING,-,FN
continuous_0019_S0_strategy2.npz,362-483,FEBRUARY,-,FN
continuous_0019_S0_strategy2.npz,483-604,FOUR,-,FN
continuous_0020_S0_strategy2.npz,0-105,ONE,ONE,TP
continuous_0020_S0_strategy2.npz,105-213,SEE YOU TOMORROW,SEE YOU TOMORROW,TP
continuous_0020_S0_strategy2.npz,213-318,-,YES,FP
continuous_0020_S0_strategy2.npz,318-426,-,CRAB,FP
continuous_0020_S0_strategy2.npz,426-744,DECEMBER,DECEMBER,TP
continuous_0020_S0_strategy2.npz,744-852,LONGANISA,LONGANISA,TP
continuous_0020_S0_strategy2.npz,240-361,YES,-,FN
continuous_0020_S0_strategy2.npz,361-482,CRAB,-,FN
continuous_0020_S0_strategy2.npz,602-723,NINE,-,FN
continuous_0021_S0_strategy2.npz,0-121,FAST,FAST,TP
continuous_0021_S0_strategy2.npz,121-243,HELLO,HELLO,TP
continuous_0022_S0_strategy2.npz,0-120,NICE TO MEET YOU,-,FN
continuous_0023_S1_strategy2.npz,0-487,WEDNESDAY,WEDNESDAY,TP
continuous_0023_S1_strategy2.npz,487-732,-,SEE YOU TOMORROW,FP
continuous_0023_S1_strategy2.npz,120-241,DON’T UNDERSTAND,-,FN
continuous_0023_S1_strategy2.npz,241-362,TEN,-,FN
continuous_0023_S1_strategy2.npz,362-483,HOW ARE YOU,-,FN
continuous_0023_S1_strategy2.npz,483-604,SON,-,FN
continuous_0023_S1_strategy2.npz,604-725,WINE,-,FN
continuous_0024_S1_strategy2.npz,0-121,GRANDMOTHER,GRANDMOTHER,TP
continuous_0024_S1_strategy2.npz,121-243,-,DEAF,FP
continuous_0024_S1_strategy2.npz,243-366,-,GOOD EVENING,FP
continuous_0024_S1_strategy2.npz,366-487,-,THURSDAY,FP
continuous_0024_S1_strategy2.npz,487-609,-,HOT,FP
continuous_0024_S1_strategy2.npz,609-732,-,DARK,FP
continuous_0024_S1_strategy2.npz,732-853,-,YES,FP
continuous_0024_S1_strategy2.npz,120-241,GOOD AFTERNOON,-,FN
continuous_0024_S1_strategy2.npz,241-362,HOT,-,FN
continuous_0024_S1_strategy2.npz,362-483,DARK,-,FN
continuous_0024_S1_strategy2.npz,483-604,WOMAN,-,FN
continuous_0024_S1_strategy2.npz,604-725,YES,-,FN
continuous_0024_S1_strategy2.npz,725-846,JUNE,-,FN
continuous_0025_S1_strategy2.npz,0-121,HELLO,HELLO,TP
continuous_0025_S1_strategy2.npz,121-243,LONGANISA,LONGANISA,TP
continuous_0025_S1_strategy2.npz,243-487,HARD OF HEARING,HARD OF HEARING,TP
continuous_0025_S1_strategy2.npz,487-609,SIX,SIX,TP
continuous_0025_S1_strategy2.npz,609-732,DON’T KNOW,DON’T KNOW,TP
continuous_0025_S1_strategy2.npz,362-483,JULY,-,FN
continuous_0026_S1_strategy2.npz,0-213,UNCLE,UNCLE,TP
continuous_0026_S1_strategy2.npz,213-319,BEER,BEER,TP
continuous_0026_S1_strategy2.npz,319-426,-,SEPTEMBER,FP
continuous_0026_S1_strategy2.npz,426-532,EGG,EGG,TP
continuous_0026_S1_strategy2.npz,532-639,HARD OF HEARING,HARD OF HEARING,TP
continuous_0026_S1_strategy2.npz,639-853,SATURDAY,SATURDAY,TP
continuous_0026_S1_strategy2.npz,241-362,MARCH,-,FN
continuous_0026_S1_strategy2.npz,725-846,ONE,-,FN
continuous_0027_S1_strategy2.npz,0-121,COLD,COLD,TP
continuous_0027_S1_strategy2.npz,121-243,GREEN,GREEN,TP
continuous_0027_S1_strategy2.npz,243-366,SPAGHETTI,SPAGHETTI,TP
continuous_0027_S1_strategy2.npz,366-487,-,NOVEMBER,FP
continuous_0027_S1_strategy2.npz,487-609,-,FIVE,FP
continuous_0027_S1_strategy2.npz,609-732,UNDERSTAND,UNDERSTAND,TP
continuous_0027_S1_strategy2.npz,362-483,FEBRUARY,-,FN
continuous_0027_S1_strategy2.npz,483-604,FOUR,-,FN
continuous_0028_S1_strategy2.npz,0-105,SLOW,SLOW,TP
continuous_0028_S1_strategy2.npz,105-213,DARK,DARK,TP
continuous_0028_S1_strategy2.npz,213-319,-,BREAD,FP
continuous_0028_S1_strategy2.npz,319-426,-,BLIND,FP
continuous_0028_S1_strategy2.npz,426-747,-,TOMORROW,FP
continuous_0028_S1_strategy2.npz,747-855,-,NICE TO MEET YOU,FP
continuous_0028_S1_strategy2.npz,241-363,BREAD,-,FN
continuous_0028_S1_strategy2.npz,363-484,BLIND,-,FN
continuous_0028_S1_strategy2.npz,484-605,AUNTIE,-,FN
continuous_0028_S1_strategy2.npz,605-726,NICE TO MEET YOU,-,FN
continuous_0028_S1_strategy2.npz,726-847,COFFEE,-,FN
continuous_0029_S1_strategy2.npz,0-366,RICE,RICE,TP
continuous_0029_S1_strategy2.npz,366-487,-,THREE,FP
continuous_0029_S1_strategy2.npz,487-609,-,BROWN,FP
continuous_0029_S1_strategy2.npz,609-732,-,DAUGHTER,FP
continuous_0029_S1_strategy2.npz,120-241,MAN,-,FN
continuous_0029_S1_strategy2.npz,241-362,THREE,-,FN
continuous_0029_S1_strategy2.npz,362-483,BROWN,-,FN
continuous_0029_S1_strategy2.npz,483-604,DAUGHTER,-,FN
continuous_0029_S1_strategy2.npz,604-725,OCTOBER,-,FN
continuous_0030_S1_strategy2.npz,283-426,-,FIVE,FP
continuous_0030_S1_strategy2.npz,426-568,-,MONDAY,FP
continuous_0030_S1_strategy2.npz,568-711,JUICE,JUICE,TP
continuous_0030_S1_strategy2.npz,711-853,GOOD MORNING,GOOD MORNING,TP
continuous_0030_S1_strategy2.npz,0-120,RED,-,FN
continuous_0030_S1_strategy2.npz,120-241,WEELCHAIR PERSON,-,FN
continuous_0030_S1_strategy2.npz,241-362,MAY,-,FN
continuous_0030_S1_strategy2.npz,362-483,NINE,-,FN
continuous_0030_S1_strategy2.npz,483-604,MONDAY,-,FN
continuous_0031_S1_strategy2.npz,0-319,NO,NO,TP
continuous_0031_S1_strategy2.npz,319-426,SHRIMP,SHRIMP,TP
continuous_0031_S1_strategy2.npz,426-639,FIVE,FIVE,TP
continuous_0031_S1_strategy2.npz,639-747,-,NO SUGAR,FP
continuous_0031_S1_strategy2.npz,747-853,LIGHT,LIGHT,TP
continuous_0031_S1_strategy2.npz,120-241,DECEMBER,-,FN
continuous_0031_S1_strategy2.npz,362-483,BOY,-,FN
continuous_0031_S1_strategy2.npz,604-725,NO SUGAR,-,FN
continuous_0032_S1_strategy2.npz,0-121,HOW ARE YOU,HOW ARE YOU,TP
continuous_0032_S1_strategy2.npz,121-243,-,MONDAY,FP
continuous_0032_S1_strategy2.npz,243-366,TEA,TEA,TP
continuous_0032_S1_strategy2.npz,366-487,DECEMBER,DECEMBER,TP
continuous_0032_S1_strategy2.npz,487-853,GIRL,GIRL,TP
continuous_0032_S1_strategy2.npz,120-241,MOTHER,-,FN
continuous_0032_S1_strategy2.npz,604-725,EIGHT,-,FN
continuous_0032_S1_strategy2.npz,725-846,DON’T UNDERSTAND,-,FN
continuous_0033_S1_strategy2.npz,0-90,-,MONDAY,FP
continuous_0033_S1_strategy2.npz,90-273,-,TUESDAY,FP
continuous_0033_S1_strategy2.npz,273-366,-,FIVE,FP
continuous_0033_S1_strategy2.npz,366-549,-,SUGAR,FP
continuous_0033_S1_strategy2.npz,549-640,-,GOOD AFTERNOON,FP
continuous_0033_S1_strategy2.npz,640-732,UNCLE,UNCLE,TP
continuous_0033_S1_strategy2.npz,0-121,BOY,-,FN
continuous_0033_S1_strategy2.npz,121-242,TUESDAY,-,FN
continuous_0033_S1_strategy2.npz,242-363,FOUR,-,FN
continuous_0033_S1_strategy2.npz,363-484,SUGAR,-,FN
continuous_0033_S1_strategy2.npz,484-605,GOOD EVENING,-,FN
continuous_0034_S1_strategy2.npz,0-121,THANK YOU,THANK YOU,TP
continuous_0034_S1_strategy2.npz,121-243,SUNDAY,SUNDAY,TP
continuous_0034_S1_strategy2.npz,243-487,DEAF,DEAF,TP
continuous_0034_S1_strategy2.npz,487-609,WRONG,WRONG,TP
continuous_0034_S1_strategy2.npz,609-732,SHRIMP,SHRIMP,TP
continuous_0034_S1_strategy2.npz,732-853,GRANDFATHER,GRANDFATHER,TP
continuous_0034_S1_strategy2.npz,362-483,SIX,-,FN
continuous_0035_S1_strategy2.npz,0-103,-,THURSDAY,FP
continuous_0035_S1_strategy2.npz,103-312,KNOW,KNOW,TP
continuous_0035_S1_strategy2.npz,312-417,IM FINE,IM FINE,TP
continuous_0035_S1_strategy2.npz,417-522,-,DEAF,FP
continuous_0035_S1_strategy2.npz,522-627,TWO,TWO,TP
continuous_0035_S1_strategy2.npz,627-732,BLACK,BLACK,TP
continuous_0035_S1_strategy2.npz,0-120,TOMORROW,-,FN
continuous_0035_S1_strategy2.npz,362-483,DEAF BLIND,-,FN
continuous_0036_S1_strategy2.npz,0-145,GRANDMOTHER,GRANDMOTHER,TP
continuous_0036_S1_strategy2.npz,145-291,MARRIED,MARRIED,TP
continuous_0036_S1_strategy2.npz,291-438,CORRECT,CORRECT,TP
continuous_0036_S1_strategy2.npz,438-585,MILK,MILK,TP
continuous_0036_S1_strategy2.npz,585-732,-,SEPTEMBER,FP
continuous_0036_S1_strategy2.npz,483-604,JANUARY,-,FN
continuous_0036_S1_strategy2.npz,604-725,TODAY,-,FN
continuous_0037_S1_strategy2.npz,0-243,MEAT,MEAT,TP
continuous_0037_S1_strategy2.npz,243-366,SUGAR,SUGAR,TP
continuous_0037_S1_strategy2.npz,366-487,-,YELLOW,FP
continuous_0037_S1_strategy2.npz,487-609,FATHER,FATHER,TP
continuous_0037_S1_strategy2.npz,609-732,SEPTEMBER,SEPTEMBER,TP
continuous_0037_S1_strategy2.npz,732-853,THURSDAY,THURSDAY,TP
continuous_0037_S1_strategy2.npz,120-241,FAST,-,FN
continuous_0037_S1_strategy2.npz,362-483,YELLOW,-,FN
continuous_0038_S1_strategy2.npz,0-120,COUSIN,COUSIN,TP
continuous_0038_S1_strategy2.npz,120-243,-,DON’T UNDERSTAND,FP
continuous_0038_S1_strategy2.npz,243-364,CHICKEN,CHICKEN,TP
continuous_0038_S1_strategy2.npz,364-730,NICE TO MEET YOU,NICE TO MEET YOU,TP
continuous_0038_S1_strategy2.npz,120-241,FAST,-,FN
continuous_0038_S1_strategy2.npz,483-604,APRIL,-,FN
continuous_0038_S1_strategy2.npz,604-724,YESTERDAY,-,FN
continuous_0039_S1_strategy2.npz,0-120,CRAB,CRAB,TP
continuous_0039_S1_strategy2.npz,120-243,SEE YOU TOMORROW,SEE YOU TOMORROW,TP
continuous_0039_S1_strategy2.npz,243-364,-,BROWN,FP
continuous_0039_S1_strategy2.npz,364-486,-,CRAB,FP
continuous_0039_S1_strategy2.npz,486-609,FISH,FISH,TP
continuous_0039_S1_strategy2.npz,609-852,VIOLET,VIOLET,TP
continuous_0039_S1_strategy2.npz,240-361,YOURE WELCOME,-,FN
continuous_0039_S1_strategy2.npz,361-482,BROWN,-,FN
continuous_0039_S1_strategy2.npz,724-845,AUGUST,-,FN
continuous_0040_S1_strategy2.npz,0-426,PINK,PINK,TP
continuous_0040_S1_strategy2.npz,426-568,-,LIGHT,FP
continuous_0040_S1_strategy2.npz,568-711,UNCLE,UNCLE,TP
continuous_0040_S1_strategy2.npz,711-853,SON,SON,TP
continuous_0040_S1_strategy2.npz,120-241,APRIL,-,FN
continuous_0040_S1_strategy2.npz,241-362,FRIDAY,-,FN
continuous_0040_S1_strategy2.npz,362-483,ORANGE,-,FN
continuous_0040_S1_strategy2.npz,725-846,WHITE,-,FN
continuous_0041_S1_strategy2.npz,0-121,NOVEMBER,NOVEMBER,TP
continuous_0041_S1_strategy2.npz,121-243,BLUE,BLUE,TP
continuous_0042_S1_strategy2.npz,0-121,GRAY,GRAY,TP
continuous_0043_S2_strategy2.npz,105-426,-,WEDNESDAY,FP
continuous_0043_S2_strategy2.npz,426-639,TEA,TEA,TP
continuous_0043_S2_strategy2.npz,639-852,DARK,DARK,TP
continuous_0043_S2_strategy2.npz,0-120,GOOD EVENING,-,FN
continuous_0043_S2_strategy2.npz,120-241,SIX,-,FN
continuous_0043_S2_strategy2.npz,241-361,FAST,-,FN
continuous_0043_S2_strategy2.npz,361-482,FEBRUARY,-,FN
continuous_0043_S2_strategy2.npz,724-845,DEAF BLIND,-,FN
continuous_0044_S2_strategy2.npz,0-145,COLD,COLD,TP
continuous_0044_S2_strategy2.npz,145-291,-,DON’T UNDERSTAND,FP
continuous_0044_S2_strategy2.npz,291-438,-,SON,FP
continuous_0044_S2_strategy2.npz,438-585,PINK,PINK,TP
continuous_0044_S2_strategy2.npz,585-732,GOOD AFTERNOON,GOOD AFTERNOON,TP
continuous_0044_S2_strategy2.npz,120-241,KNOW,-,FN
continuous_0044_S2_strategy2.npz,241-362,SON,-,FN
continuous_0044_S2_strategy2.npz,604-725,BOY,-,FN
continuous_0045_S2_strategy2.npz,0-141,SUGAR,SUGAR,TP
continuous_0045_S2_strategy2.npz,141-283,GOOD MORNING,GOOD MORNING,TP
continuous_0045_S2_strategy2.npz,283-426,WOMAN,WOMAN,TP
continuous_0045_S2_strategy2.npz,426-711,FIVE,FIVE,TP
continuous_0045_S2_strategy2.npz,711-853,LIGHT,LIGHT,TP
continuous_0045_S2_strategy2.npz,483-604,DECEMBER,-,FN
continuous_0045_S2_strategy2.npz,725-846,KNOW,-,FN
continuous_0046_S2_strategy2.npz,90-183,-,GOOD EVENING,FP
continuous_0046_S2_strategy2.npz,183-273,NO,NO,TP
continuous_0046_S2_strategy2.npz,273-732,-,THURSDAY,FP
continuous_0046_S2_strategy2.npz,0-120,GOOD AFTERNOON,-,FN
continuous_0046_S2_strategy2.npz,241-362,TUESDAY,-,FN
continuous_0046_S2_strategy2.npz,362-483,BEER,-,FN
continuous_0046_S2_strategy2.npz,483-604,EIGHT,-,FN
continuous_0046_S2_strategy2.npz,604-725,BLUE,-,FN
continuous_0047_S2_strategy2.npz,0-121,PARENTS,PARENTS,TP
continuous_0047_S2_strategy2.npz,121-243,COFFEE,COFFEE,TP
continuous_0047_S2_strategy2.npz,243-366,-,RED,FP
continuous_0047_S2_strategy2.npz,366-487,-,PINK,FP
continuous_0047_S2_strategy2.npz,487-609,-,TEN,FP
continuous_0047_S2_strategy2.npz,609-732,-,DON’T KNOW,FP
continuous_0047_S2_strategy2.npz,732-853,-,SEE YOU TOMORROW,FP
continuous_0047_S2_strategy2.npz,241-362,RED,-,FN
continuous_0047_S2_strategy2.npz,362-483,TEN,-,FN
continuous_0047_S2_strategy2.npz,483-604,DON’T KNOW,-,FN
continuous_0047_S2_strategy2.npz,604-725,SEE YOU TOMORROW,-,FN
continuous_0047_S2_strategy2.npz,725-846,MAN,-,FN
continuous_0048_S2_strategy2.npz,0-121,WRONG,WRONG,TP
continuous_0048_S2_strategy2.npz,121-243,SEPTEMBER,SEPTEMBER,TP
continuous_0048_S2_strategy2.npz,243-366,SUNDAY,SUNDAY,TP
continuous_0048_S2_strategy2.npz,366-487,FATHER,FATHER,TP
continuous_0048_S2_strategy2.npz,487-609,BLIND,BLIND,TP
continuous_0048_S2_strategy2.npz,609-732,CHICKEN,CHICKEN,TP
continuous_0048_S2_strategy2.npz,732-853,HELLO,HELLO,TP
continuous_0049_S2_strategy2.npz,438-585,-,MARRIED,FP
continuous_0049_S2_strategy2.npz,585-732,PARENTS,PARENTS,TP
continuous_0049_S2_strategy2.npz,0-120,NOVEMBER,-,FN
continuous_0049_S2_strategy2.npz,120-241,TWO,-,FN
continuous_0049_S2_strategy2.npz,241-362,MARRIED,-,FN
continuous_0049_S2_strategy2.npz,362-483,YESTERDAY,-,FN
continuous_0049_S2_strategy2.npz,483-604,YOURE WELCOME,-,FN
continuous_0050_S2_strategy2.npz,145-438,-,DON’T UNDERSTAND,FP
continuous_0050_S2_strategy2.npz,438-511,-,FRIDAY,FP
continuous_0050_S2_strategy2.npz,511-585,-,WEDNESDAY,FP
continuous_0050_S2_strategy2.npz,585-657,-,THANK YOU,FP
continuous_0050_S2_strategy2.npz,657-732,GREEN,GREEN,TP
continuous_0050_S2_strategy2.npz,0-120,APRIL,-,FN
continuous_0050_S2_strategy2.npz,120-241,DON’T UNDERSTAND,-,FN
continuous_0050_S2_strategy2.npz,241-362,SON,-,FN
continuous_0050_S2_strategy2.npz,362-483,FRIDAY,-,FN
continuous_0050_S2_strategy2.npz,483-604,THANK YOU,-,FN
continuous_0051_S2_strategy2.npz,0-121,WEELCHAIR PERSON,WEELCHAIR PERSON,TP
continuous_0051_S2_strategy2.npz,121-243,GRANDFATHER,GRANDFATHER,TP
continuous_0051_S2_strategy2.npz,243-366,FISH,FISH,TP
continuous_0051_S2_strategy2.npz,366-487,CORRECT,CORRECT,TP
continuous_0051_S2_strategy2.npz,487-732,HOW ARE YOU,HOW ARE YOU,TP
continuous_0051_S2_strategy2.npz,732-853,-,ORANGE,FP
continuous_0051_S2_strategy2.npz,604-725,ORANGE,-,FN
continuous_0051_S2_strategy2.npz,725-846,WINE,-,FN
continuous_0052_S2_strategy2.npz,121-243,DEAF,DEAF,TP
continuous_0052_S2_strategy2.npz,243-489,TOMORROW,TOMORROW,TP
continuous_0052_S2_strategy2.npz,489-733,HOT,HOT,TP
continuous_0052_S2_strategy2.npz,0-121,UNDERSTAND,-,FN
continuous_0052_S2_strategy2.npz,363-484,JUNE,-,FN
continuous_0052_S2_strategy2.npz,606-727,THREE,-,FN
